일시,고객_카테고리,판매량_m3,판매액_만원,고객수
2022-01-01,주택용,843.06,84306.0,102
2022-01-02,주택용,1172.41,117241.0,326
2022-01-03,주택용,974.88,97488.0,462
2022-01-04,주택용,976.26,97626.0,124
2022-01-05,주택용,1402.33,140233.0,379
2022-01-06,주택용,863.15,86315.0,159
2022-01-07,주택용,1256.98,125698.0,413
2022-01-08,주택용,1370.1,137010.0,111
2022-01-09,주택용,1288.24,128824.0,434
2022-01-10,주택용,979.83,97983.0,305
2022-01-11,주택용,857.12,85712.0,270
2022-01-12,주택용,863.82,86382.0,204
2022-01-13,주택용,1186.26,118626.0,355
2022-01-14,주택용,821.88,82188.0,324
2022-01-15,주택용,1210.81,121081.0,204
2022-01-16,주택용,1352.41,135241.0,138
2022-01-17,주택용,1394.6,139460.0,334
2022-01-18,주택용,842.43,84243.0,426
2022-01-19,주택용,1257.74,125774.0,435
2022-01-20,주택용,1298.38,129838.0,61
2022-01-21,주택용,816.15,81615.0,458
2022-01-22,주택용,886.68,88668.0,384
2022-01-23,주택용,979.29,97929.0,362
2022-01-24,주택용,1199.59,119959.0,389
2022-01-25,주택용,1089.78,108978.0,51
2022-01-26,주택용,1397.26,139726.0,463
2022-01-27,주택용,1204.59,120459.0,256
2022-01-01,상업용,546.29,54629.0,205
2022-01-02,상업용,373.08,37308.0,194
2022-01-03,상업용,583.09,58309.0,274
2022-01-04,상업용,608.98,60898.0,432
2022-01-05,상업용,577.13,57713.0,246
2022-01-06,상업용,531.43,53143.0,101
2022-01-07,상업용,559.84,55984.0,206
2022-01-08,상업용,385.55,38555.0,395
2022-01-09,상업용,372.98,37298.0,28
2022-01-10,상업용,483.82,48382.0,285
2022-01-11,상업용,642.51,64251.0,453
2022-01-12,상업용,659.74,65974.0,127
2022-01-13,상업용,655.83,65583.0,188
2022-01-14,상업용,414.72,41472.0,147
2022-01-15,상업용,593.86,59386.0,301
2022-01-16,상업용,619.37,61937.0,257
2022-01-17,상업용,622.43,62243.0,59
2022-01-18,상업용,533.1,53310.0,198
2022-01-19,상업용,645.61,64561.0,480
2022-01-20,상업용,501.11,50111.0,228
2022-01-21,상업용,483.23,48323.0,265
2022-01-22,상업용,371.05,37105.0,145
2022-01-23,상업용,592.2,59220.0,469
2022-01-24,상업용,498.05,49805.0,272
2022-01-25,상업용,548.55,54855.0,494
2022-01-26,상업용,407.75,40775.0,306
2022-01-27,상업용,463.88,46388.0,477
2022-01-01,산업용,954.43,95443.0,309
2022-01-02,산업용,814.78,81478.0,16
2022-01-03,산업용,1024.93,102493.0,33
2022-01-04,산업용,657.61,65761.0,248
2022-01-05,산업용,706.73,70673.0,16
2022-01-06,산업용,604.12,60412.0,466
2022-01-07,산업용,647.88,64788.0,113
2022-01-08,산업용,743.13,74313.0,352
2022-01-09,산업용,856.37,85637.0,157
