일시,고객_카테고리,판매량_m3,판매액_만원,고객수
2022-01-01,주택용,365.72,36572.0,141
2022-01-02,주택용,492.77,49277.0,45
2022-01-03,주택용,437.93,43793.0,176
2022-01-04,주택용,304.95,30495.0,309
2022-01-05,주택용,321.7,32170.0,412
2022-01-06,주택용,385.97,38597.0,306
2022-01-07,주택용,384.05,38405.0,362
2022-01-08,주택용,459.34,45934.0,202
2022-01-09,주택용,385.85,38585.0,20
2022-01-10,주택용,393.52,39352.0,79
2022-01-11,주택용,316.78,31678.0,113
2022-01-12,주택용,385.97,38597.0,127
2022-01-13,주택용,317.7,31770.0,219
2022-01-14,주택용,509.06,50906.0,449
2022-01-15,주택용,510.0,51000.0,59
2022-01-16,주택용,357.36,35736.0,451
2022-01-17,주택용,387.17,38717.0,88
2022-01-18,주택용,309.44,30944.0,177
2022-01-19,주택용,368.32,36832.0,337
2022-01-20,주택용,283.97,28397.0,339
2022-01-21,주택용,381.72,38172.0,367
2022-01-22,주택용,478.83,47883.0,229
2022-01-23,주택용,339.98,33998.0,123
2022-01-24,주택용,306.89,30689.0,97
2022-01-25,주택용,410.82,41082.0,306
2022-01-26,주택용,383.36,38336.0,271
2022-01-27,주택용,403.29,40329.0,396
2022-01-01,상업용,232.82,23282.0,184
2022-01-02,상업용,232.16,23216.0,19
2022-01-03,상업용,186.98,18698.0,144
2022-01-04,상업용,276.41,27641.0,267
2022-01-05,상업용,267.63,26763.0,310
2022-01-06,상업용,174.24,17424.0,452
2022-01-07,상업용,212.85,21285.0,48
2022-01-08,상업용,256.02,25602.0,160
2022-01-09,상업용,209.95,20995.0,125
2022-01-10,상업용,247.58,24758.0,390
2022-01-11,상업용,228.12,22812.0,424
2022-01-12,상업용,213.92,21392.0,365
2022-01-13,상업용,217.12,21712.0,312
2022-01-14,상업용,197.13,19713.0,25
2022-01-15,상업용,170.57,17057.0,396
2022-01-16,상업용,274.69,27469.0,269
2022-01-17,상업용,276.7,27670.0,17
2022-01-18,상업용,272.38,27238.0,93
2022-01-19,상업용,161.02,16102.0,312
2022-01-20,상업용,160.5,16050.0,131
2022-01-21,상업용,259.05,25905.0,85
2022-01-22,상업용,252.06,25206.0,180
2022-01-23,상업용,244.5,24450.0,314
2022-01-24,상업용,282.13,28213.0,18
2022-01-25,상업용,220.39,22039.0,201
2022-01-26,상업용,176.21,17621.0,193
2022-01-27,상업용,274.62,27462.0,393
2022-01-01,산업용,650.14,65014.0,101
2022-01-02,산업용,525.42,52542.0,42
2022-01-03,산업용,654.25,65425.0,350
2022-01-04,산업용,418.03,41803.0,132
2022-01-05,산업용,484.43,48443.0,382
2022-01-06,산업용,662.72,66272.0,89
2022-01-07,산업용,486.78,48678.0,145
2022-01-08,산업용,683.41,68341.0,273
2022-01-09,산업용,495.28,49528.0,97
2022-01-10,산업용,496.67,49667.0,68
2022-01-11,산업용,486.37,48637.0,69
2022-01-12,산업용,408.09,40809.0,237
2022-01-13,산업용,684.82,68482.0,385
2022-01-14,산업용,426.89,42689.0,342
2022-01-15,산업용,419.44,41944.0,150
2022-01-16,산업용,686.01,68601.0,276
2022-01-17,산업용,669.55,66955.0,71
2022-01-18,산업용,500.93,50093.0,410
2022-01-19,산업용,548.29,54829.0,493
2022-01-20,산업용,537.68,53768.0,351
2022-01-21,산업용,684.33,68433.0,67
2022-01-22,산업용,486.89,48689.0,406
2022-01-23,산업용,393.29,39329.0,372
2022-01-24,산업용,549.1,54910.0,317
2022-01-25,산업용,611.51,61151.0,447
2022-01-26,산업용,443.03,44303.0,231
2022-01-27,산업용,658.0,65800.0,449
2022-01-01,발전용,444.82,44482.0,124
2022-01-02,발전용,527.11,52711.0,131
2022-01-03,발전용,631.53,63153.0,174
2022-01-04,발전용,543.37,54337.0,268
2022-01-05,발전용,390.34,39034.0,467
2022-01-06,발전용,540.42,54042.0,231
2022-01-07,발전용,587.28,58728.0,439
2022-01-08,발전용,435.29,43529.0,58
2022-01-09,발전용,470.93,47093.0,139
2022-01-10,발전용,415.92,41592.0,109
2022-01-11,발전용,560.12,56012.0,45
2022-01-12,발전용,565.48,56548.0,484
2022-01-13,발전용,686.16,68616.0,492
2022-01-14,발전용,501.63,50163.0,130
2022-01-15,발전용,676.11,67611.0,281
2022-01-16,발전용,639.74,63974.0,146
2022-01-17,발전용,450.36,45036.0,221
2022-01-18,발전용,691.73,69173.0,107
2022-01-19,발전용,499.62,49962.0,137
2022-01-20,발전용,442.47,44247.0,225
2022-01-21,발전용,552.93,55293.0,76
2022-01-22,발전용,467.1,46710.0,392
2022-01-23,발전용,505.89,50589.0,21
2022-01-24,발전용,472.13,47213.0,322
2022-01-25,발전용,657.97,65797.0,234
2022-01-26,발전용,480.13,48013.0,16
2022-01-27,발전용,478.55,47855.0,47
2022-02-01,주택용,977.16,97716.0,164
2022-02-02,주택용,1239.91,123991.0,255
2022-02-03,주택용,1697.94,169794.0,50
2022-02-04,주택용,1198.17,119817.0,235
2022-02-05,주택용,1502.8,150280.0,358
2022-02-06,주택용,1092.59,109259.0,102
2022-02-07,주택용,1645.48,164548.0,130
2022-02-08,주택용,1600.63,160063.0,351
2022-02-09,주택용,1501.79,150179.0,41
2022-02-10,주택용,1535.81,153581.0,104
2022-02-11,주택용,1115.38,111538.0,115
2022-02-12,주택용,1276.0,127600.0,184
2022-02-13,주택용,1363.63,136363.0,335
2022-02-14,주택용,1260.77,126077.0,340
2022-02-15,주택용,943.41,94341.0,31
2022-02-16,주택용,1372.46,137246.0,227
2022-02-17,주택용,1305.67,130567.0,51
2022-02-18,주택용,969.75,96975.0,456
2022-02-19,주택용,1697.77,169777.0,180
2022-02-20,주택용,1453.54,145354.0,367
2022-02-21,주택용,1597.35,159735.0,241
2022-02-22,주택용,1511.18,151118.0,346
2022-02-23,주택용,1436.47,143647.0,395
2022-02-24,주택용,1087.05,108705.0,171
2022-02-25,주택용,1346.84,134684.0,431
2022-02-26,주택용,1379.76,137976.0,414
2022-02-27,주택용,1562.19,156219.0,460
2022-02-01,상업용,142.15,14215.0,327
2022-02-02,상업용,143.6,14360.0,326
2022-02-03,상업용,239.63,23963.0,311
2022-02-04,상업용,232.31,23231.0,116
2022-02-05,상업용,213.52,21352.0,59
2022-02-06,상업용,211.83,21183.0,457
2022-02-07,상업용,154.02,15402.0,495
2022-02-08,상업용,200.05,20005.0,224
2022-02-09,상업용,198.54,19854.0,190
2022-02-10,상업용,230.57,23057.0,293
2022-02-11,상업용,247.81,24781.0,11
2022-02-12,상업용,204.41,20441.0,151
2022-02-13,상업용,192.15,19215.0,452
2022-02-14,상업용,178.76,17876.0,257
2022-02-15,상업용,199.78,19978.0,94
2022-02-16,상업용,164.59,16459.0,436
2022-02-17,상업용,227.1,22710.0,280
2022-02-18,상업용,188.7,18870.0,55
2022-02-19,상업용,259.54,25954.0,429
2022-02-20,상업용,182.76,18276.0,484
2022-02-21,상업용,175.53,17553.0,263
2022-02-22,상업용,242.54,24254.0,391
2022-02-23,상업용,156.32,15632.0,31
2022-02-24,상업용,152.05,15205.0,356
2022-02-25,상업용,164.75,16475.0,443
2022-02-26,상업용,207.16,20716.0,239
2022-02-27,상업용,246.47,24647.0,378
2022-02-01,산업용,511.27,51127.0,36
2022-02-02,산업용,445.74,44574.0,211
2022-02-03,산업용,724.22,72422.0,179
2022-02-04,산업용,722.48,72248.0,354
2022-02-05,산업용,600.81,60081.0,189
2022-02-06,산업용,447.8,44780.0,309
2022-02-07,산업용,741.7,74170.0,211
2022-02-08,산업용,491.25,49125.0,232
