일시,고객_카테고리,판매량_m3,판매액_만원,고객수
2022-01-01,주택용,607.74,60774.0,368
2022-01-02,주택용,772.49,77249.0,107
2022-01-03,주택용,900.54,90054.0,150
2022-01-04,주택용,991.68,99168.0,219
2022-01-05,주택용,900.51,90051.0,209
2022-01-06,주택용,666.59,66659.0,310
2022-01-07,주택용,889.86,88986.0,51
2022-01-08,주택용,852.8,85280.0,10
2022-01-09,주택용,970.86,97086.0,193
2022-01-10,주택용,853.27,85327.0,203
2022-01-11,주택용,884.03,88403.0,14
2022-01-12,주택용,1011.45,101145.0,73
2022-01-13,주택용,681.26,68126.0,184
2022-01-14,주택용,581.56,58156.0,224
2022-01-15,주택용,676.58,67658.0,348
2022-01-16,주택용,608.88,60888.0,34
2022-01-17,주택용,902.06,90206.0,47
2022-01-18,주택용,704.78,70478.0,195
2022-01-19,주택용,856.35,85635.0,277
2022-01-20,주택용,876.1,87610.0,397
2022-01-21,주택용,610.5,61050.0,199
2022-01-22,주택용,758.61,75861.0,266
2022-01-23,주택용,840.41,84041.0,343
2022-01-24,주택용,802.02,80202.0,404
2022-01-25,주택용,926.73,92673.0,281
2022-01-26,주택용,816.5,81650.0,11
2022-01-27,주택용,794.47,79447.0,302
2022-01-01,상업용,1565.65,156565.0,199
2022-01-02,상업용,1617.96,161796.0,175
2022-01-03,상업용,1134.89,113489.0,155
2022-01-04,상업용,1433.48,143348.0,39
2022-01-05,상업용,1545.57,154557.0,99
2022-01-06,상업용,943.7,94370.0,218
2022-01-07,상업용,1540.47,154047.0,421
2022-01-08,상업용,1049.32,104932.0,257
2022-01-09,상업용,1175.69,117569.0,85
2022-01-10,상업용,1439.42,143942.0,133
2022-01-11,상업용,1490.41,149041.0,49
2022-01-12,상업용,1056.62,105662.0,364
2022-01-13,상업용,1436.8,143680.0,207
2022-01-14,상업용,1001.61,100161.0,75
2022-01-15,상업용,1314.37,131437.0,483
2022-01-16,상업용,1585.39,158539.0,390
2022-01-17,상업용,1135.08,113508.0,399
2022-01-18,상업용,888.97,88897.0,467
2022-01-19,상업용,914.16,91416.0,245
2022-01-20,상업용,1515.88,151588.0,111
2022-01-21,상업용,1241.26,124126.0,39
2022-01-22,상업용,1155.29,115529.0,90
2022-01-23,상업용,1020.77,102077.0,459
2022-01-24,상업용,876.09,87609.0,161
2022-01-25,상업용,1201.1,120110.0,263
2022-01-26,상업용,905.78,90578.0,65
2022-01-27,상업용,1028.34,102834.0,163
2022-01-01,산업용,336.32,33632.0,237
2022-01-02,산업용,397.56,39756.0,175
2022-01-03,산업용,407.02,40702.0,454
2022-01-04,산업용,366.13,36613.0,229
2022-01-05,산업용,400.09,40009.0,66
2022-01-06,산업용,353.45,35345.0,96
2022-01-07,산업용,336.45,33645.0,145
2022-01-08,산업용,276.88,27688.0,82
2022-01-09,산업용,319.3,31930.0,221
2022-01-10,산업용,376.66,37666.0,471
2022-01-11,산업용,394.3,39430.0,411
2022-01-12,산업용,304.61,30461.0,126
2022-01-13,산업용,267.86,26786.0,32
2022-01-14,산업용,408.98,40898.0,239
2022-01-15,산업용,280.65,28065.0,410
2022-01-16,산업용,283.78,28378.0,109
2022-01-17,산업용,327.37,32737.0,326
2022-01-18,산업용,242.03,24203.0,241
2022-01-19,산업용,306.41,30641.0,323
2022-01-20,산업용,233.66,23366.0,313
2022-01-21,산업용,409.32,40932.0,169
2022-01-22,산업용,352.36,35236.0,317
2022-01-23,산업용,296.26,29626.0,230
2022-01-24,산업용,288.76,28876.0,65
2022-01-25,산업용,230.89,23089.0,285
2022-01-26,산업용,384.12,38412.0,462
2022-01-27,산업용,325.35,32535.0,469
2022-01-01,발전용,276.35,27635.0,488
2022-01-02,발전용,226.21,22621.0,220
2022-01-03,발전용,253.39,25339.0,270
2022-01-04,발전용,214.89,21489.0,245
2022-01-05,발전용,275.03,27503.0,211
2022-01-06,발전용,293.1,29310.0,254
2022-01-07,발전용,294.52,29452.0,373
2022-01-08,발전용,224.83,22483.0,405
2022-01-09,발전용,264.55,26455.0,494
2022-01-10,발전용,277.41,27741.0,81
2022-01-11,발전용,235.88,23588.0,487
2022-01-12,발전용,219.32,21932.0,60
2022-01-13,발전용,222.34,22234.0,216
2022-01-14,발전용,181.81,18181.0,122
2022-01-15,발전용,213.78,21378.0,354
2022-01-16,발전용,180.85,18085.0,101
2022-01-17,발전용,192.92,19292.0,288
2022-01-18,발전용,188.16,18816.0,99
2022-01-19,발전용,232.19,23219.0,383
2022-01-20,발전용,200.27,20027.0,362
2022-01-21,발전용,283.45,28345.0,285
2022-01-22,발전용,300.31,30031.0,232
2022-01-23,발전용,284.44,28444.0,84
2022-01-24,발전용,257.72,25772.0,280
2022-01-25,발전용,207.15,20715.0,84
2022-01-26,발전용,202.57,20257.0,183
2022-01-27,발전용,291.13,29113.0,192
2022-02-01,주택용,652.72,65272.0,203
2022-02-02,주택용,480.9,48090.0,83
2022-02-03,주택용,482.61,48261.0,41
2022-02-04,주택용,615.05,61505.0,297
2022-02-05,주택용,371.72,37172.0,406
2022-02-06,주택용,473.11,47311.0,324
2022-02-07,주택용,388.09,38809.0,366
2022-02-08,주택용,442.26,44226.0,304
2022-02-09,주택용,543.75,54375.0,468
2022-02-10,주택용,604.62,60462.0,379
2022-02-11,주택용,615.55,61555.0,36
2022-02-12,주택용,552.33,55233.0,128
2022-02-13,주택용,531.41,53141.0,364
2022-02-14,주택용,560.39,56039.0,229
2022-02-15,주택용,425.73,42573.0,263
2022-02-16,주택용,358.5,35850.0,341
2022-02-17,주택용,528.68,52868.0,378
2022-02-18,주택용,629.17,62917.0,95
2022-02-19,주택용,457.8,45780.0,405
2022-02-20,주택용,358.87,35887.0,470
2022-02-21,주택용,487.95,48795.0,214
2022-02-22,주택용,615.3,61530.0,68
2022-02-23,주택용,452.99,45299.0,303
2022-02-24,주택용,610.99,61099.0,65
2022-02-25,주택용,648.92,64892.0,270
2022-02-26,주택용,460.17,46017.0,257
2022-02-27,주택용,487.79,48779.0,117
2022-02-01,상업용,706.9,70690.0,370
2022-02-02,상업용,932.9,93290.0,440
2022-02-03,상업용,975.43,97543.0,443
2022-02-04,상업용,1098.25,109825.0,46
2022-02-05,상업용,658.59,65859.0,353
2022-02-06,상업용,963.79,96379.0,428
2022-02-07,상업용,763.52,76352.0,267
