일시,고객_카테고리,판매량_m3,판매액_만원,고객수
2022-01-01,주택용,336.12,33612.0,406
2022-01-02,주택용,340.28,34028.0,303
2022-01-03,주택용,398.91,39891.0,306
2022-01-04,주택용,505.38,50538.0,394
2022-01-05,주택용,450.57,45057.0,43
2022-01-06,주택용,432.38,43238.0,483
2022-01-07,주택용,515.09,51509.0,333
2022-01-08,주택용,520.58,52058.0,186
2022-01-09,주택용,451.96,45196.0,234
2022-01-10,주택용,443.2,44320.0,157
2022-01-11,주택용,332.5,33250.0,486
2022-01-12,주택용,562.41,56241.0,279
2022-01-13,주택용,475.57,47557.0,99
2022-01-14,주택용,506.46,50646.0,175
2022-01-15,주택용,569.49,56949.0,485
2022-01-16,주택용,398.68,39868.0,239
2022-01-17,주택용,396.85,39685.0,397
2022-01-18,주택용,531.7,53170.0,104
2022-01-19,주택용,353.83,35383.0,37
2022-01-20,주택용,433.66,43366.0,460
2022-01-21,주택용,313.43,31343.0,413
2022-01-22,주택용,555.06,55506.0,140
2022-01-23,주택용,335.54,33554.0,486
2022-01-24,주택용,468.37,46837.0,107
2022-01-25,주택용,418.56,41856.0,43
2022-01-26,주택용,457.19,45719.0,192
2022-01-27,주택용,328.0,32800.0,412
2022-01-01,상업용,1124.29,112429.0,288
2022-01-02,상업용,1845.34,184534.0,146
2022-01-03,상업용,1182.58,118258.0,275
2022-01-04,상업용,1681.31,168131.0,282
2022-01-05,상업용,1149.43,114943.0,120
2022-01-06,상업용,1215.92,121592.0,22
2022-01-07,상업용,1282.41,128241.0,494
2022-01-08,상업용,1611.73,161173.0,362
2022-01-09,상업용,1126.24,112624.0,474
2022-01-10,상업용,1303.63,130363.0,80
2022-01-11,상업용,1282.5,128250.0,440
2022-01-12,상업용,1433.7,143370.0,497
2022-01-13,상업용,1147.72,114772.0,244
2022-01-14,상업용,1749.05,174905.0,39
2022-01-15,상업용,1605.25,160525.0,133
2022-01-16,상업용,1481.81,148181.0,49
2022-01-17,상업용,1628.4,162840.0,109
2022-01-18,상업용,1622.52,162252.0,111
2022-01-19,상업용,1537.55,153755.0,309
2022-01-20,상업용,1069.38,106938.0,121
2022-01-21,상업용,1732.02,173202.0,375
2022-01-22,상업용,1442.24,144224.0,28
2022-01-23,상업용,1133.63,113363.0,479
2022-01-24,상업용,1809.75,180975.0,489
2022-01-25,상업용,1873.78,187378.0,152
2022-01-26,상업용,1180.37,118037.0,32
2022-01-27,상업용,1225.52,122552.0,346
2022-01-01,산업용,1229.25,122925.0,121
2022-01-02,산업용,714.7,71470.0,415
2022-01-03,산업용,1256.58,125658.0,432
2022-01-04,산업용,754.57,75457.0,188
2022-01-05,산업용,1178.27,117827.0,384
2022-01-06,산업용,1202.26,120226.0,468
2022-01-07,산업용,990.5,99050.0,50
2022-01-08,산업용,1003.71,100371.0,206
2022-01-09,산업용,1094.93,109493.0,493
2022-01-10,산업용,1316.06,131606.0,333
