일시,고객_카테고리,판매량_m3,판매액_만원,고객수
2022-01-01,주택용,151.39,15139.0,56
2022-01-02,주택용,243.84,24384.0,161
2022-01-03,주택용,221.99,22199.0,154
2022-01-04,주택용,225.15,22515.0,319
2022-01-05,주택용,159.59,15959.0,24
2022-01-06,주택용,230.48,23048.0,147
2022-01-07,주택용,168.43,16843.0,360
2022-01-08,주택용,204.76,20476.0,74
2022-01-09,주택용,137.26,13726.0,432
2022-01-10,주택용,166.85,16685.0,382
2022-01-11,주택용,214.02,21402.0,263
2022-01-12,주택용,165.16,16516.0,322
2022-01-13,주택용,226.29,22629.0,402
2022-01-14,주택용,190.64,19064.0,195
2022-01-15,주택용,187.01,18701.0,233
2022-01-16,주택용,227.65,22765.0,93
2022-01-17,주택용,233.41,23341.0,390
2022-01-18,주택용,158.88,15888.0,136
2022-01-19,주택용,202.51,20251.0,289
2022-01-20,주택용,140.22,14022.0,234
2022-01-21,주택용,218.44,21844.0,77
2022-01-22,주택용,146.72,14672.0,231
2022-01-23,주택용,202.43,20243.0,313
2022-01-24,주택용,176.98,17698.0,460
2022-01-25,주택용,182.47,18247.0,273
2022-01-26,주택용,151.2,15120.0,239
2022-01-27,주택용,205.76,20576.0,465
2022-01-01,상업용,1162.09,116209.0,337
2022-01-02,상업용,1403.05,140305.0,439
2022-01-03,상업용,1651.21,165121.0,233
2022-01-04,상업용,1287.05,128705.0,32
2022-01-05,상업용,1487.67,148767.0,401
2022-01-06,상업용,1153.75,115375.0,63
2022-01-07,상업용,1699.26,169926.0,317
2022-01-08,상업용,1629.79,162979.0,13
2022-01-09,상업용,1265.86,126586.0,417
2022-01-10,상업용,1396.85,139685.0,16
2022-01-11,상업용,1582.07,158207.0,341
2022-01-12,상업용,1026.79,102679.0,241
2022-01-13,상업용,1662.6,166260.0,73
2022-01-14,상업용,1545.87,154587.0,65
2022-01-15,상업용,1069.53,106953.0,320
2022-01-16,상업용,1002.55,100255.0,262
2022-01-17,상업용,1249.59,124959.0,61
2022-01-18,상업용,966.0,96600.0,392
2022-01-19,상업용,1096.17,109617.0,372
2022-01-20,상업용,1687.22,168722.0,224
2022-01-21,상업용,1097.74,109774.0,163
2022-01-22,상업용,1079.18,107918.0,30
2022-01-23,상업용,1096.7,109670.0,62
2022-01-24,상업용,1655.96,165596.0,479
2022-01-25,상업용,1411.24,141124.0,191
2022-01-26,상업용,1080.67,108067.0,128
2022-01-27,상업용,1463.14,146314.0,114
2022-01-01,산업용,1190.33,119033.0,367
2022-01-02,산업용,1203.06,120306.0,387
2022-01-03,산업용,1500.17,150017.0,107
2022-01-04,산업용,1530.65,153065.0,93
2022-01-05,산업용,1014.68,101468.0,166
2022-01-06,산업용,980.29,98029.0,366
2022-01-07,산업용,1504.98,150498.0,93
2022-01-08,산업용,869.09,86909.0,115
2022-01-09,산업용,1066.47,106647.0,450
2022-01-10,산업용,1332.22,133222.0,110
2022-01-11,산업용,1270.93,127093.0,157
2022-01-12,산업용,1481.4,148140.0,96
2022-01-13,산업용,1022.45,102245.0,102
2022-01-14,산업용,1186.09,118609.0,432
2022-01-15,산업용,1007.39,100739.0,105
2022-01-16,산업용,1099.3,109930.0,480
2022-01-17,산업용,860.93,86093.0,418
2022-01-18,산업용,1260.38,126038.0,398
2022-01-19,산업용,928.05,92805.0,236
2022-01-20,산업용,1097.66,109766.0,162
2022-01-21,산업용,864.55,86455.0,420
2022-01-22,산업용,1125.88,112588.0,92
2022-01-23,산업용,1093.75,109375.0,481
2022-01-24,산업용,1121.57,112157.0,490
2022-01-25,산업용,850.18,85018.0,153
2022-01-26,산업용,1513.58,151358.0,84
2022-01-27,산업용,1050.06,105006.0,224
2022-01-01,발전용,476.27,47627.0,468
2022-01-02,발전용,454.39,45439.0,388
2022-01-03,발전용,671.11,67111.0,173
2022-01-04,발전용,771.0,77100.0,176
2022-01-05,발전용,751.88,75188.0,197
2022-01-06,발전용,761.36,76136.0,331
2022-01-07,발전용,688.48,68848.0,433
2022-01-08,발전용,602.57,60257.0,320
2022-01-09,발전용,571.97,57197.0,13
2022-01-10,발전용,538.01,53801.0,290
2022-01-11,발전용,506.44,50644.0,463
2022-01-12,발전용,565.86,56586.0,263
2022-01-13,발전용,640.67,64067.0,269
2022-01-14,발전용,603.23,60323.0,375
2022-01-15,발전용,639.06,63906.0,57
2022-01-16,발전용,569.91,56991.0,438
2022-01-17,발전용,609.43,60943.0,56
2022-01-18,발전용,660.32,66032.0,293
2022-01-19,발전용,678.71,67871.0,420
2022-01-20,발전용,621.34,62134.0,399
2022-01-21,발전용,498.68,49868.0,18
2022-01-22,발전용,549.07,54907.0,480
2022-01-23,발전용,735.18,73518.0,75
2022-01-24,발전용,441.41,44141.0,79
2022-01-25,발전용,613.16,61316.0,29
2022-01-26,발전용,520.31,52031.0,367
2022-01-27,발전용,535.02,53502.0,195
2022-02-01,주택용,375.26,37526.0,362
2022-02-02,주택용,398.16,39816.0,49
2022-02-03,주택용,531.49,53149.0,476
2022-02-04,주택용,397.08,39708.0,81
2022-02-05,주택용,523.54,52354.0,38
2022-02-06,주택용,353.82,35382.0,459
2022-02-07,주택용,522.96,52296.0,328
2022-02-08,주택용,560.63,56063.0,495
2022-02-09,주택용,503.51,50351.0,146
2022-02-10,주택용,375.73,37573.0,440
2022-02-11,주택용,505.36,50536.0,442
2022-02-12,주택용,553.54,55354.0,478
2022-02-13,주택용,505.88,50588.0,215
2022-02-14,주택용,393.35,39335.0,93
2022-02-15,주택용,409.47,40947.0,167
2022-02-16,주택용,554.77,55477.0,349
2022-02-17,주택용,340.2,34020.0,188
2022-02-18,주택용,325.46,32546.0,252
2022-02-19,주택용,353.49,35349.0,362
2022-02-20,주택용,437.16,43716.0,259
2022-02-21,주택용,488.02,48802.0,304
2022-02-22,주택용,336.91,33691.0,219
2022-02-23,주택용,499.3,49930.0,61
2022-02-24,주택용,506.13,50613.0,414
2022-02-25,주택용,334.32,33432.0,211
2022-02-26,주택용,427.81,42781.0,349
2022-02-27,주택용,494.58,49458.0,104
2022-02-01,상업용,961.41,96141.0,427
2022-02-02,상업용,1259.94,125994.0,48
2022-02-03,상업용,1374.09,137409.0,140
2022-02-04,상업용,1541.47,154147.0,330
2022-02-05,상업용,1608.11,160811.0,254
2022-02-06,상업용,1025.0,102500.0,44
2022-02-07,상업용,1730.69,173069.0,42
2022-02-08,상업용,1052.92,105292.0,326
2022-02-09,상업용,1662.08,166208.0,201
2022-02-10,상업용,1353.0,135300.0,172
2022-02-11,상업용,1476.85,147685.0,140
2022-02-12,상업용,1329.93,132993.0,279
2022-02-13,상업용,1278.89,127889.0,376
2022-02-14,상업용,1568.79,156879.0,407
2022-02-15,상업용,1232.58,123258.0,108
2022-02-16,상업용,997.56,99756.0,332
2022-02-17,상업용,1748.31,174831.0,217
2022-02-18,상업용,1029.85,102985.0,356
2022-02-19,상업용,1404.89,140489.0,337
2022-02-20,상업용,1720.39,172039.0,31
2022-02-21,상업용,1731.91,173191.0,402
2022-02-22,상업용,1042.32,104232.0,68
2022-02-23,상업용,1322.46,132246.0,294
2022-02-24,상업용,1226.29,122629.0,110
2022-02-25,상업용,1462.3,146230.0,51
2022-02-26,상업용,1262.51,126251.0,286
2022-02-27,상업용,1657.55,165755.0,388
2022-02-01,산업용,360.66,36066.0,203
2022-02-02,산업용,220.27,22027.0,472
2022-02-03,산업용,333.85,33385.0,234
2022-02-04,산업용,274.05,27405.0,199
2022-02-05,산업용,314.66,31466.0,382
2022-02-06,산업용,348.41,34841.0,310
2022-02-07,산업용,240.95,24095.0,399
2022-02-08,산업용,370.63,37063.0,94
2022-02-09,산업용,345.86,34586.0,262
2022-02-10,산업용,252.67,25267.0,195
2022-02-11,산업용,346.57,34657.0,123
2022-02-12,산업용,308.22,30822.0,291
2022-02-13,산업용,225.86,22586.0,103
2022-02-14,산업용,350.8,35080.0,375
2022-02-15,산업용,277.62,27762.0,119
2022-02-16,산업용,313.24,31324.0,60
2022-02-17,산업용,309.09,30909.0,75
2022-02-18,산업용,352.5,35250.0,333
2022-02-19,산업용,367.3,36730.0,296
2022-02-20,산업용,323.13,32313.0,170
2022-02-21,산업용,313.87,31387.0,389
2022-02-22,산업용,300.59,30059.0,280
2022-02-23,산업용,350.98,35098.0,445
2022-02-24,산업용,344.56,34456.0,21
2022-02-25,산업용,273.28,27328.0,488
2022-02-26,산업용,271.03,27103.0,269
2022-02-27,산업용,227.04,22704.0,427
2022-02-01,발전용,218.28,21828.0,184
2022-02-02,발전용,176.31,17631.0,115
2022-02-03,발전용,197.77,19777.0,386
2022-02-04,발전용,221.85,22185.0,223
2022-02-05,발전용,216.4,21640.0,398
2022-02-06,발전용,145.95,14595.0,81
2022-02-07,발전용,230.65,23065.0,156
2022-02-08,발전용,188.74,18874.0,347
2022-02-09,발전용,145.44,14544.0,388
2022-02-10,발전용,200.33,20033.0,152
2022-02-11,발전용,230.32,23032.0,378
2022-02-12,발전용,209.66,20966.0,310
2022-02-13,발전용,172.92,17292.0,76
2022-02-14,발전용,240.2,24020.0,335
2022-02-15,발전용,182.3,18230.0,350
2022-02-16,발전용,195.6,19560.0,323
2022-02-17,발전용,175.85,17585.0,449
2022-02-18,발전용,164.83,16483.0,441
2022-02-19,발전용,221.02,22102.0,188
2022-02-20,발전용,219.38,21938.0,39
2022-02-21,발전용,236.7,23670.0,493
2022-02-22,발전용,211.46,21146.0,18
2022-02-23,발전용,152.45,15245.0,299
2022-02-24,발전용,253.26,25326.0,145
2022-02-25,발전용,164.25,16425.0,114
2022-02-26,발전용,154.27,15427.0,179
2022-02-27,발전용,159.14,15914.0,262
2022-03-01,주택용,457.21,45721.0,192
2022-03-02,주택용,608.41,60841.0,480
2022-03-03,주택용,458.75,45875.0,421
2022-03-04,주택용,505.43,50543.0,67
2022-03-05,주택용,692.19,69219.0,385
2022-03-06,주택용,703.8,70380.0,370
2022-03-07,주택용,535.69,53569.0,328
2022-03-08,주택용,465.82,46582.0,303
2022-03-09,주택용,556.16,55616.0,271
2022-03-10,주택용,747.72,74772.0,317
2022-03-11,주택용,758.16,75816.0,364
2022-03-12,주택용,719.84,71984.0,45
2022-03-13,주택용,664.32,66432.0,300
2022-03-14,주택용,440.74,44074.0,438
2022-03-15,주택용,573.74,57374.0,498
2022-03-16,주택용,574.4,57440.0,394
2022-03-17,주택용,514.68,51468.0,464
2022-03-18,주택용,456.04,45604.0,365
2022-03-19,주택용,543.35,54335.0,34
2022-03-20,주택용,724.65,72465.0,481
2022-03-21,주택용,552.31,55231.0,127
2022-03-22,주택용,690.0,69000.0,468
2022-03-23,주택용,733.79,73379.0,149
2022-03-24,주택용,613.37,61337.0,467
2022-03-25,주택용,557.42,55742.0,88
2022-03-26,주택용,694.75,69475.0,73
2022-03-27,주택용,634.21,63421.0,412
2022-03-01,상업용,166.96,16696.0,159
2022-03-02,상업용,158.17,15817.0,225
2022-03-03,상업용,227.29,22729.0,469
2022-03-04,상업용,228.51,22851.0,141
2022-03-05,상업용,169.14,16914.0,242
2022-03-06,상업용,204.95,20495.0,40
2022-03-07,상업용,235.32,23532.0,19
2022-03-08,상업용,262.21,26221.0,222
2022-03-09,상업용,197.55,19755.0,136
2022-03-10,상업용,283.04,28304.0,146
2022-03-11,상업용,256.59,25659.0,409
2022-03-12,상업용,236.38,23638.0,276
2022-03-13,상업용,285.93,28593.0,10
2022-03-14,상업용,263.94,26394.0,365
2022-03-15,상업용,244.33,24433.0,151
2022-03-16,상업용,188.51,18851.0,145
2022-03-17,상업용,241.16,24116.0,388
2022-03-18,상업용,287.33,28733.0,368
2022-03-19,상업용,176.7,17670.0,420
2022-03-20,상업용,196.51,19651.0,241
2022-03-21,상업용,214.04,21404.0,413
2022-03-22,상업용,173.72,17372.0,311
2022-03-23,상업용,197.45,19745.0,317
2022-03-24,상업용,211.93,21193.0,197
2022-03-25,상업용,181.87,18187.0,141
2022-03-26,상업용,287.62,28762.0,71
2022-03-27,상업용,251.0,25100.0,229
2022-03-01,산업용,881.52,88152.0,23
2022-03-02,산업용,1086.66,108666.0,63
2022-03-03,산업용,798.4,79840.0,107
2022-03-04,산업용,764.59,76459.0,270
2022-03-05,산업용,1171.77,117177.0,14
2022-03-06,산업용,1228.91,122891.0,201
2022-03-07,산업용,1022.55,102255.0,436
2022-03-08,산업용,1064.95,106495.0,60
2022-03-09,산업용,933.32,93332.0,338
2022-03-10,산업용,1014.8,101480.0,488
2022-03-11,산업용,1275.5,127550.0,101
2022-03-12,산업용,758.23,75823.0,481
2022-03-13,산업용,886.34,88634.0,270
2022-03-14,산업용,861.23,86123.0,388
2022-03-15,산업용,1031.91,103191.0,184
2022-03-16,산업용,911.16,91116.0,97
2022-03-17,산업용,1203.5,120350.0,150
2022-03-18,산업용,1140.41,114041.0,258
2022-03-19,산업용,979.91,97991.0,374
2022-03-20,산업용,1174.41,117441.0,496
2022-03-21,산업용,1285.97,128597.0,464
2022-03-22,산업용,959.52,95952.0,184
2022-03-23,산업용,1129.53,112953.0,126
2022-03-24,산업용,826.13,82613.0,380
2022-03-25,산업용,1124.89,112489.0,95
2022-03-26,산업용,970.25,97025.0,275
2022-03-27,산업용,819.29,81929.0,195
2022-03-01,발전용,935.05,93505.0,136
2022-03-02,발전용,1653.6,165360.0,415
2022-03-03,발전용,1523.6,152360.0,365
2022-03-04,발전용,1306.72,130672.0,231
2022-03-05,발전용,1224.6,122460.0,392
2022-03-06,발전용,1285.09,128509.0,245
2022-03-07,발전용,1170.34,117034.0,421
2022-03-08,발전용,1138.69,113869.0,218
2022-03-09,발전용,1029.83,102983.0,159
2022-03-10,발전용,1660.53,166053.0,22
2022-03-11,발전용,1639.67,163967.0,383
2022-03-12,발전용,1536.32,153632.0,246
2022-03-13,발전용,1640.67,164067.0,386
2022-03-14,발전용,1667.46,166746.0,287
2022-03-15,발전용,1067.02,106702.0,428
2022-03-16,발전용,1197.47,119747.0,323
2022-03-17,발전용,1428.3,142830.0,229
2022-03-18,발전용,951.86,95186.0,362
2022-03-19,발전용,1082.35,108235.0,454
2022-03-20,발전용,1277.37,127737.0,494
2022-03-21,발전용,1203.3,120330.0,98
2022-03-22,발전용,1156.56,115656.0,130
2022-03-23,발전용,1274.31,127431.0,275
2022-03-24,발전용,1634.0,163400.0,98
2022-03-25,발전용,1466.59,146659.0,179
2022-03-26,발전용,1664.22,166422.0,414
2022-03-27,발전용,1513.48,151348.0,393
2022-04-01,주택용,901.67,90167.0,18
2022-04-02,주택용,1175.6,117560.0,318
2022-04-03,주택용,1121.39,112139.0,15
2022-04-04,주택용,1341.16,134116.0,89
2022-04-05,주택용,1144.96,114496.0,475
2022-04-06,주택용,1316.65,131665.0,475
2022-04-07,주택용,1230.6,123060.0,430
2022-04-08,주택용,1048.62,104862.0,59
2022-04-09,주택용,1328.39,132839.0,390
2022-04-10,주택용,1340.03,134003.0,110
2022-04-11,주택용,936.43,93643.0,284
2022-04-12,주택용,1360.23,136023.0,53
2022-04-13,주택용,1015.75,101575.0,144
2022-04-14,주택용,825.86,82586.0,471
2022-04-15,주택용,774.17,77417.0,398
2022-04-16,주택용,810.77,81077.0,258
2022-04-17,주택용,1341.65,134165.0,456
2022-04-18,주택용,1124.4,112440.0,218
2022-04-19,주택용,799.85,79985.0,329
2022-04-20,주택용,999.55,99955.0,234
2022-04-21,주택용,980.75,98075.0,316
2022-04-22,주택용,1352.54,135254.0,100
2022-04-23,주택용,783.11,78311.0,213
2022-04-24,주택용,1040.87,104087.0,106
2022-04-25,주택용,1236.95,123695.0,126
2022-04-26,주택용,1017.81,101781.0,276
2022-04-27,주택용,861.86,86186.0,395
2022-04-01,상업용,1031.62,103162.0,261
2022-04-02,상업용,1044.23,104423.0,329
2022-04-03,상업용,1084.34,108434.0,149
2022-04-04,상업용,1009.91,100991.0,154
2022-04-05,상업용,1110.88,111088.0,150
2022-04-06,상업용,881.36,88136.0,367
2022-04-07,상업용,783.5,78350.0,481
2022-04-08,상업용,1073.05,107305.0,33
2022-04-09,상업용,779.05,77905.0,57
2022-04-10,상업용,824.6,82460.0,68
2022-04-11,상업용,1007.34,100734.0,313
2022-04-12,상업용,702.45,70245.0,146
2022-04-13,상업용,672.0,67200.0,419
2022-04-14,상업용,1035.7,103570.0,309
2022-04-15,상업용,1164.07,116407.0,316
2022-04-16,상업용,1098.47,109847.0,455
2022-04-17,상업용,793.44,79344.0,249
2022-04-18,상업용,702.89,70289.0,407
2022-04-19,상업용,808.6,80860.0,462
2022-04-20,상업용,868.54,86854.0,407
2022-04-21,상업용,731.25,73125.0,226
2022-04-22,상업용,979.97,97997.0,26
2022-04-23,상업용,872.88,87288.0,193
2022-04-24,상업용,892.07,89207.0,80
2022-04-25,상업용,1072.02,107202.0,139
2022-04-26,상업용,934.66,93466.0,374
2022-04-27,상업용,1072.96,107296.0,96
2022-04-01,산업용,1801.24,180124.0,234
2022-04-02,산업용,1300.62,130062.0,76
2022-04-03,산업용,1366.41,136641.0,83
2022-04-04,산업용,1276.48,127648.0,233
2022-04-05,산업용,1073.76,107376.0,192
2022-04-06,산업용,1478.66,147866.0,430
2022-04-07,산업용,1463.4,146340.0,141
2022-04-08,산업용,1678.27,167827.0,358
2022-04-09,산업용,1865.82,186582.0,395
2022-04-10,산업용,1570.6,157060.0,98
2022-04-11,산업용,1675.95,167595.0,325
2022-04-12,산업용,1174.57,117457.0,495
2022-04-13,산업용,1750.45,175045.0,480
