일시,고객_카테고리,판매량_m3,판매액_만원,고객수
2022-01-01,주택용,680.02,68002.0,188
2022-01-02,주택용,630.87,63087.0,307
2022-01-03,주택용,632.2,63220.0,20
2022-01-04,주택용,589.34,58934.0,34
2022-01-05,주택용,645.78,64578.0,250
2022-01-06,주택용,536.62,53662.0,117
2022-01-07,주택용,550.86,55086.0,378
2022-01-08,주택용,478.58,47858.0,100
2022-01-09,주택용,678.06,67806.0,256
2022-01-10,주택용,408.36,40836.0,478
2022-01-11,주택용,382.51,38251.0,28
2022-01-12,주택용,507.83,50783.0,252
2022-01-13,주택용,424.44,42444.0,199
2022-01-14,주택용,615.44,61544.0,308
2022-01-15,주택용,452.79,45279.0,177
2022-01-16,주택용,433.95,43395.0,251
2022-01-17,주택용,426.03,42603.0,348
2022-01-18,주택용,451.16,45116.0,144
2022-01-19,주택용,475.6,47560.0,401
2022-01-20,주택용,464.65,46465.0,102
2022-01-21,주택용,501.05,50105.0,10
2022-01-22,주택용,486.05,48605.0,421
2022-01-23,주택용,638.83,63883.0,241
2022-01-24,주택용,599.72,59972.0,214
2022-01-25,주택용,467.55,46755.0,176
2022-01-26,주택용,676.36,67636.0,285
2022-01-27,주택용,588.66,58866.0,279
2022-01-01,상업용,575.04,57504.0,54
2022-01-02,상업용,848.29,84829.0,62
2022-01-03,상업용,829.52,82952.0,351
2022-01-04,상업용,603.79,60379.0,15
2022-01-05,상업용,663.23,66323.0,100
2022-01-06,상업용,558.35,55835.0,130
2022-01-07,상업용,506.88,50688.0,256
2022-01-08,상업용,639.44,63944.0,447
2022-01-09,상업용,499.93,49993.0,303
2022-01-10,상업용,613.78,61378.0,422
2022-01-11,상업용,626.46,62646.0,273
2022-01-12,상업용,792.07,79207.0,233
2022-01-13,상업용,568.76,56876.0,124
2022-01-14,상업용,766.28,76628.0,281
2022-01-15,상업용,609.72,60972.0,239
2022-01-16,상업용,643.1,64310.0,397
2022-01-17,상업용,634.2,63420.0,392
2022-01-18,상업용,607.61,60761.0,326
2022-01-19,상업용,569.04,56904.0,414
2022-01-20,상업용,655.25,65525.0,249
2022-01-21,상업용,817.72,81772.0,230
2022-01-22,상업용,520.27,52027.0,82
2022-01-23,상업용,581.05,58105.0,95
2022-01-24,상업용,575.28,57528.0,224
2022-01-25,상업용,530.28,53028.0,249
2022-01-26,상업용,578.4,57840.0,420
2022-01-27,상업용,703.01,70301.0,161
2022-01-01,산업용,631.3,63130.0,167
2022-01-02,산업용,643.78,64378.0,253
2022-01-03,산업용,862.58,86258.0,297
2022-01-04,산업용,900.6,90060.0,74
2022-01-05,산업용,910.18,91018.0,424
2022-01-06,산업용,705.22,70522.0,291
2022-01-07,산업용,565.6,56560.0,490
2022-01-08,산업용,699.11,69911.0,264
2022-01-09,산업용,637.46,63746.0,145
2022-01-10,산업용,913.08,91308.0,262
2022-01-11,산업용,690.23,69023.0,93
