일시,고객_카테고리,판매량_m3,판매액_만원,고객수
2022-01-01,주택용,592.12,59212.0,243
2022-01-02,주택용,537.09,53709.0,384
2022-01-03,주택용,517.88,51788.0,13
2022-01-04,주택용,569.41,56941.0,390
2022-01-05,주택용,481.92,48192.0,47
2022-01-06,주택용,537.58,53758.0,98
2022-01-07,주택용,419.45,41945.0,284
2022-01-08,주택용,631.05,63105.0,103
2022-01-09,주택용,606.46,60646.0,109
2022-01-10,주택용,682.16,68216.0,13
2022-01-11,주택용,461.56,46156.0,207
2022-01-12,주택용,622.56,62256.0,174
2022-01-13,주택용,583.28,58328.0,10
2022-01-14,주택용,476.67,47667.0,189
2022-01-15,주택용,448.23,44823.0,453
2022-01-16,주택용,474.86,47486.0,465
2022-01-17,주택용,534.57,53457.0,441
2022-01-18,주택용,523.47,52347.0,149
2022-01-19,주택용,588.01,58801.0,79
2022-01-20,주택용,407.63,40763.0,119
2022-01-21,주택용,565.54,56554.0,228
2022-01-22,주택용,492.59,49259.0,340
2022-01-23,주택용,465.14,46514.0,352
2022-01-24,주택용,619.33,61933.0,448
2022-01-25,주택용,438.0,43800.0,491
2022-01-26,주택용,438.21,43821.0,280
2022-01-27,주택용,516.71,51671.0,38
2022-01-01,상업용,386.45,38645.0,336
2022-01-02,상업용,419.17,41917.0,499
2022-01-03,상업용,529.6,52960.0,361
2022-01-04,상업용,369.64,36964.0,46
2022-01-05,상업용,520.99,52099.0,289
2022-01-06,상업용,425.93,42593.0,232
2022-01-07,상업용,400.04,40004.0,181
2022-01-08,상업용,468.05,46805.0,458
2022-01-09,상업용,498.17,49817.0,296
2022-01-10,상업용,379.15,37915.0,277
2022-01-11,상업용,366.74,36674.0,189
2022-01-12,상업용,376.05,37605.0,230
2022-01-13,상업용,574.44,57444.0,214
2022-01-14,상업용,386.35,38635.0,469
2022-01-15,상업용,381.39,38139.0,64
2022-01-16,상업용,464.4,46440.0,347
2022-01-17,상업용,575.94,57594.0,17
2022-01-18,상업용,466.71,46671.0,370
2022-01-19,상업용,551.56,55156.0,395
2022-01-20,상업용,485.79,48579.0,20
2022-01-21,상업용,363.66,36366.0,13
2022-01-22,상업용,402.86,40286.0,369
2022-01-23,상업용,499.17,49917.0,346
2022-01-24,상업용,450.56,45056.0,74
2022-01-25,상업용,434.39,43439.0,192
2022-01-26,상업용,556.2,55620.0,31
2022-01-27,상업용,525.68,52568.0,164
2022-01-01,산업용,170.05,17005.0,113
2022-01-02,산업용,203.79,20379.0,146
2022-01-03,산업용,194.24,19424.0,234
2022-01-04,산업용,188.36,18836.0,296
2022-01-05,산업용,218.62,21862.0,177
2022-01-06,산업용,233.09,23309.0,182
2022-01-07,산업용,214.84,21484.0,107
