일시,고객_카테고리,판매량_m3,판매액_만원,고객수
2022-01-01,주택용,914.45,91445.0,402
2022-01-02,주택용,1083.42,108342.0,140
2022-01-03,주택용,728.2,72820.0,274
2022-01-04,주택용,1104.01,110401.0,205
2022-01-05,주택용,1190.94,119094.0,463
2022-01-06,주택용,942.6,94260.0,91
2022-01-07,주택용,925.54,92554.0,364
2022-01-08,주택용,782.34,78234.0,65
2022-01-09,주택용,867.15,86715.0,198
2022-01-10,주택용,691.95,69195.0,14
2022-01-11,주택용,955.08,95508.0,154
2022-01-12,주택용,986.54,98654.0,205
2022-01-13,주택용,1047.85,104785.0,136
2022-01-14,주택용,1163.71,116371.0,340
2022-01-15,주택용,701.49,70149.0,17
2022-01-16,주택용,735.91,73591.0,208
2022-01-17,주택용,978.39,97839.0,395
2022-01-18,주택용,830.42,83042.0,459
2022-01-19,주택용,977.82,97782.0,312
2022-01-20,주택용,805.88,80588.0,291
2022-01-21,주택용,1107.43,110743.0,438
2022-01-22,주택용,790.98,79098.0,224
2022-01-23,주택용,1190.07,119007.0,279
2022-01-24,주택용,874.17,87417.0,194
2022-01-25,주택용,787.1,78710.0,380
2022-01-26,주택용,767.25,76725.0,471
2022-01-27,주택용,691.21,69121.0,433
2022-01-01,상업용,729.69,72969.0,137
2022-01-02,상업용,628.49,62849.0,37
2022-01-03,상업용,600.6,60060.0,70
2022-01-04,상업용,503.82,50382.0,452
2022-01-05,상업용,734.98,73498.0,309
2022-01-06,상업용,606.54,60654.0,403
2022-01-07,상업용,749.11,74911.0,349
2022-01-08,상업용,788.41,78841.0,474
2022-01-09,상업용,726.48,72648.0,406
2022-01-10,상업용,775.22,77522.0,409
2022-01-11,상업용,674.29,67429.0,172
2022-01-12,상업용,525.9,52590.0,304
2022-01-13,상업용,624.9,62490.0,241
2022-01-14,상업용,606.15,60615.0,318
2022-01-15,상업용,788.79,78879.0,133
2022-01-16,상업용,843.37,84337.0,204
2022-01-17,상업용,769.14,76914.0,340
2022-01-18,상업용,858.66,85866.0,433
2022-01-19,상업용,615.97,61597.0,381
2022-01-20,상업용,631.78,63178.0,77
2022-01-21,상업용,594.72,59472.0,242
2022-01-22,상업용,783.54,78354.0,478
2022-01-23,상업용,520.58,52058.0,428
2022-01-24,상업용,490.11,49011.0,399
2022-01-25,상업용,617.6,61760.0,133
2022-01-26,상업용,754.4,75440.0,183
2022-01-27,상업용,762.07,76207.0,306
2022-01-01,산업용,1315.6,131560.0,128
2022-01-02,산업용,1000.6,100060.0,267
2022-01-03,산업용,821.46,82146.0,360
2022-01-04,산업용,1053.96,105396.0,286
2022-01-05,산업용,887.16,88716.0,176
2022-01-06,산업용,1318.85,131885.0,476
2022-01-07,산업용,1204.32,120432.0,303
2022-01-08,산업용,1324.09,132409.0,237
2022-01-09,산업용,889.59,88959.0,140
2022-01-10,산업용,1463.88,146388.0,21
2022-01-11,산업용,1010.32,101032.0,328
2022-01-12,산업용,1110.18,111018.0,372
2022-01-13,산업용,1293.28,129328.0,303
2022-01-14,산업용,1196.12,119612.0,61
2022-01-15,산업용,949.51,94951.0,44
2022-01-16,산업용,1033.89,103389.0,228
2022-01-17,산업용,1279.5,127950.0,197
2022-01-18,산업용,1368.85,136885.0,172
2022-01-19,산업용,838.55,83855.0,80
2022-01-20,산업용,999.56,99956.0,108
2022-01-21,산업용,928.56,92856.0,117
2022-01-22,산업용,1363.08,136308.0,240
2022-01-23,산업용,996.63,99663.0,455
2022-01-24,산업용,890.57,89057.0,56
2022-01-25,산업용,923.21,92321.0,250
2022-01-26,산업용,904.15,90415.0,296
2022-01-27,산업용,1254.95,125495.0,152
2022-01-01,발전용,1167.57,116757.0,468
2022-01-02,발전용,1595.76,159576.0,12
2022-01-03,발전용,1640.34,164034.0,481
2022-01-04,발전용,1332.6,133260.0,487
2022-01-05,발전용,1697.97,169797.0,453
2022-01-06,발전용,1064.56,106456.0,85
2022-01-07,발전용,1378.3,137830.0,209
2022-01-08,발전용,1334.76,133476.0,103
2022-01-09,발전용,1333.87,133387.0,361
2022-01-10,발전용,1070.7,107070.0,478
2022-01-11,발전용,1395.82,139582.0,100
2022-01-12,발전용,1026.56,102656.0,452
2022-01-13,발전용,1307.43,130743.0,199
2022-01-14,발전용,1183.05,118305.0,195
2022-01-15,발전용,1548.75,154875.0,342
2022-01-16,발전용,1046.07,104607.0,325
2022-01-17,발전용,1028.72,102872.0,345
2022-01-18,발전용,1152.59,115259.0,360
2022-01-19,발전용,1608.67,160867.0,113
2022-01-20,발전용,1120.26,112026.0,354
2022-01-21,발전용,1640.89,164089.0,441
2022-01-22,발전용,1719.09,171909.0,218
2022-01-23,발전용,1741.51,174151.0,482
2022-01-24,발전용,1279.17,127917.0,439
2022-01-25,발전용,1792.47,179247.0,186
2022-01-26,발전용,1538.1,153810.0,355
2022-01-27,발전용,1665.71,166571.0,95
2022-02-01,주택용,1634.08,163408.0,40
2022-02-02,주택용,1029.25,102925.0,45
2022-02-03,주택용,1080.18,108018.0,360
