일시,고객_카테고리,판매량_m3,판매액_만원,고객수
2022-01-01,주택용,887.59,88759.0,162
2022-01-02,주택용,874.01,87401.0,250
2022-01-03,주택용,960.64,96064.0,330
2022-01-04,주택용,1044.82,104482.0,101
2022-01-05,주택용,898.03,89803.0,132
2022-01-06,주택용,640.1,64010.0,335
2022-01-07,주택용,844.77,84477.0,268
2022-01-08,주택용,855.64,85564.0,84
2022-01-09,주택용,725.7,72570.0,425
2022-01-10,주택용,1048.93,104893.0,248
2022-01-11,주택용,1091.89,109189.0,201
2022-01-12,주택용,953.77,95377.0,250
2022-01-13,주택용,955.61,95561.0,229
2022-01-14,주택용,659.44,65944.0,345
2022-01-15,주택용,743.62,74362.0,38
2022-01-16,주택용,1045.37,104537.0,495
2022-01-17,주택용,628.66,62866.0,163
2022-01-18,주택용,1107.03,110703.0,111
2022-01-19,주택용,1003.69,100369.0,190
2022-01-20,주택용,833.95,83395.0,241
2022-01-21,주택용,997.68,99768.0,258
2022-01-22,주택용,677.09,67709.0,399
2022-01-23,주택용,992.43,99243.0,40
2022-01-24,주택용,771.27,77127.0,268
2022-01-25,주택용,972.58,97258.0,391
2022-01-26,주택용,904.39,90439.0,438
2022-01-27,주택용,647.98,64798.0,216
2022-01-01,상업용,1241.83,124183.0,204
2022-01-02,상업용,1499.95,149995.0,471
2022-01-03,상업용,1410.68,141068.0,45
2022-01-04,상업용,1329.56,132956.0,290
2022-01-05,상업용,1803.21,180321.0,465
2022-01-06,상업용,1563.82,156382.0,165
2022-01-07,상업용,1148.15,114815.0,69
2022-01-08,상업용,1191.99,119199.0,176
2022-01-09,상업용,1143.74,114374.0,198
2022-01-10,상업용,1847.4,184740.0,101
2022-01-11,상업용,1778.01,177801.0,298
2022-01-12,상업용,1504.42,150442.0,54
2022-01-13,상업용,1167.33,116733.0,62
2022-01-14,상업용,1555.1,155510.0,76
2022-01-15,상업용,1693.04,169304.0,370
2022-01-16,상업용,1607.18,160718.0,416
2022-01-17,상업용,1475.96,147596.0,385
2022-01-18,상업용,1424.95,142495.0,45
2022-01-19,상업용,1734.28,173428.0,445
2022-01-20,상업용,1389.46,138946.0,421
2022-01-21,상업용,1641.25,164125.0,423
2022-01-22,상업용,1771.89,177189.0,346
2022-01-23,상업용,1823.23,182323.0,447
2022-01-24,상업용,1896.67,189667.0,165
2022-01-25,상업용,1665.41,166541.0,441
2022-01-26,상업용,1505.32,150532.0,325
2022-01-27,상업용,1286.42,128642.0,462
2022-01-01,산업용,510.56,51056.0,190
2022-01-02,산업용,520.73,52073.0,274
2022-01-03,산업용,534.95,53495.0,310
2022-01-04,산업용,447.51,44751.0,345
2022-01-05,산업용,671.38,67138.0,246
2022-01-06,산업용,688.8,68880.0,277
2022-01-07,산업용,698.55,69855.0,25
2022-01-08,산업용,465.2,46520.0,28
2022-01-09,산업용,577.13,57713.0,397
2022-01-10,산업용,673.09,67309.0,104
2022-01-11,산업용,724.35,72435.0,438
2022-01-12,산업용,652.26,65226.0,402
2022-01-13,산업용,558.59,55859.0,371
2022-01-14,산업용,470.23,47023.0,414
2022-01-15,산업용,599.18,59918.0,353
2022-01-16,산업용,695.97,69597.0,386
2022-01-17,산업용,607.71,60771.0,174
2022-01-18,산업용,664.24,66424.0,233
2022-01-19,산업용,637.84,63784.0,314
2022-01-20,산업용,555.1,55510.0,92
2022-01-21,산업용,487.93,48793.0,191
2022-01-22,산업용,658.09,65809.0,241
2022-01-23,산업용,625.53,62553.0,413
2022-01-24,산업용,483.26,48326.0,153
2022-01-25,산업용,718.3,71830.0,272
2022-01-26,산업용,474.58,47458.0,301
2022-01-27,산업용,657.65,65765.0,319
2022-01-01,발전용,329.85,32985.0,118
2022-01-02,발전용,439.53,43953.0,491
2022-01-03,발전용,351.58,35158.0,179
2022-01-04,발전용,528.73,52873.0,179
2022-01-05,발전용,444.57,44457.0,136
2022-01-06,발전용,344.47,34447.0,371
2022-01-07,발전용,450.51,45051.0,67
2022-01-08,발전용,340.01,34001.0,211
2022-01-09,발전용,328.4,32840.0,499
2022-01-10,발전용,354.58,35458.0,277
2022-01-11,발전용,513.05,51305.0,58
2022-01-12,발전용,304.42,30442.0,270
2022-01-13,발전용,389.45,38945.0,376
2022-01-14,발전용,318.93,31893.0,442
2022-01-15,발전용,399.75,39975.0,311
2022-01-16,발전용,498.37,49837.0,487
2022-01-17,발전용,354.63,35463.0,460
2022-01-18,발전용,346.58,34658.0,121
2022-01-19,발전용,424.9,42490.0,224
2022-01-20,발전용,316.86,31686.0,106
2022-01-21,발전용,331.37,33137.0,45
2022-01-22,발전용,332.17,33217.0,299
2022-01-23,발전용,378.9,37890.0,313
2022-01-24,발전용,346.36,34636.0,356
2022-01-25,발전용,401.33,40133.0,150
2022-01-26,발전용,405.13,40513.0,361
2022-01-27,발전용,395.01,39501.0,345
2022-02-01,주택용,243.92,24392.0,376
2022-02-02,주택용,209.8,20980.0,85
2022-02-03,주택용,309.88,30988.0,219
2022-02-04,주택용,265.89,26589.0,447
2022-02-05,주택용,230.5,23050.0,486
2022-02-06,주택용,179.49,17949.0,20
2022-02-07,주택용,250.38,25038.0,269
2022-02-08,주택용,274.03,27403.0,378
2022-02-09,주택용,307.05,30705.0,474
2022-02-10,주택용,213.12,21312.0,95
2022-02-11,주택용,301.96,30196.0,486
2022-02-12,주택용,192.08,19208.0,73
2022-02-13,주택용,260.79,26079.0,471
2022-02-14,주택용,285.38,28538.0,247
2022-02-15,주택용,192.09,19209.0,315
2022-02-16,주택용,322.38,32238.0,233
2022-02-17,주택용,308.87,30887.0,484
2022-02-18,주택용,201.55,20155.0,348
2022-02-19,주택용,284.41,28441.0,171
2022-02-20,주택용,190.79,19079.0,70
2022-02-21,주택용,276.09,27609.0,499
2022-02-22,주택용,240.41,24041.0,262
2022-02-23,주택용,238.77,23877.0,139
2022-02-24,주택용,323.95,32395.0,367
2022-02-25,주택용,179.51,17951.0,100
2022-02-26,주택용,266.74,26674.0,467
2022-02-27,주택용,248.1,24810.0,29
2022-02-01,상업용,782.04,78204.0,337
2022-02-02,상업용,951.14,95114.0,447
2022-02-03,상업용,812.72,81272.0,378
2022-02-04,상업용,634.02,63402.0,259
2022-02-05,상업용,838.39,83839.0,207
2022-02-06,상업용,1026.58,102658.0,404
2022-02-07,상업용,960.35,96035.0,295
2022-02-08,상업용,618.52,61852.0,225
2022-02-09,상업용,917.67,91767.0,225
2022-02-10,상업용,837.23,83723.0,123
2022-02-11,상업용,648.49,64849.0,107
2022-02-12,상업용,1030.87,103087.0,166
2022-02-13,상업용,1005.36,100536.0,189
2022-02-14,상업용,1016.1,101610.0,60
2022-02-15,상업용,603.42,60342.0,261
2022-02-16,상업용,928.53,92853.0,129
2022-02-17,상업용,585.65,58565.0,171
2022-02-18,상업용,741.42,74142.0,150
2022-02-19,상업용,770.01,77001.0,387
2022-02-20,상업용,860.6,86060.0,451
2022-02-21,상업용,634.04,63404.0,95
2022-02-22,상업용,584.46,58446.0,189
2022-02-23,상업용,1029.37,102937.0,15
2022-02-24,상업용,711.21,71121.0,177
2022-02-25,상업용,757.87,75787.0,293
2022-02-26,상업용,830.18,83018.0,105
2022-02-27,상업용,1010.26,101026.0,65
2022-02-01,산업용,336.14,33614.0,290
2022-02-02,산업용,303.97,30397.0,156
2022-02-03,산업용,248.27,24827.0,90
2022-02-04,산업용,222.01,22201.0,96
2022-02-05,산업용,204.47,20447.0,10
2022-02-06,산업용,336.43,33643.0,147
2022-02-07,산업용,330.78,33078.0,390
2022-02-08,산업용,289.55,28955.0,28
2022-02-09,산업용,199.16,19916.0,252
2022-02-10,산업용,325.32,32532.0,418
2022-02-11,산업용,321.96,32196.0,93
2022-02-12,산업용,354.88,35488.0,334
2022-02-13,산업용,211.7,21170.0,154
2022-02-14,산업용,256.19,25619.0,334
2022-02-15,산업용,210.6,21060.0,205
2022-02-16,산업용,259.92,25992.0,368
2022-02-17,산업용,313.62,31362.0,480
2022-02-18,산업용,289.84,28984.0,228
2022-02-19,산업용,216.71,21671.0,219
2022-02-20,산업용,320.99,32099.0,234
2022-02-21,산업용,329.7,32970.0,205
2022-02-22,산업용,255.61,25561.0,66
2022-02-23,산업용,311.44,31144.0,222
2022-02-24,산업용,248.1,24810.0,389
2022-02-25,산업용,213.47,21347.0,460
2022-02-26,산업용,354.34,35434.0,390
2022-02-27,산업용,239.45,23945.0,493
2022-02-01,발전용,684.27,68427.0,173
2022-02-02,발전용,733.46,73346.0,32
2022-02-03,발전용,901.12,90112.0,99
2022-02-04,발전용,950.85,95085.0,101
2022-02-05,발전용,589.73,58973.0,164
2022-02-06,발전용,539.36,53936.0,216
2022-02-07,발전용,552.17,55217.0,112
2022-02-08,발전용,687.75,68775.0,89
2022-02-09,발전용,612.34,61234.0,249
2022-02-10,발전용,829.22,82922.0,44
2022-02-11,발전용,720.05,72005.0,59
2022-02-12,발전용,543.45,54345.0,251
2022-02-13,발전용,589.96,58996.0,48
2022-02-14,발전용,584.05,58405.0,253
2022-02-15,발전용,854.52,85452.0,239
2022-02-16,발전용,599.58,59958.0,297
2022-02-17,발전용,905.15,90515.0,117
2022-02-18,발전용,563.55,56355.0,372
2022-02-19,발전용,656.11,65611.0,25
2022-02-20,발전용,688.11,68811.0,212
2022-02-21,발전용,767.83,76783.0,125
2022-02-22,발전용,835.71,83571.0,448
2022-02-23,발전용,864.38,86438.0,241
2022-02-24,발전용,608.24,60824.0,361
2022-02-25,발전용,891.75,89175.0,481
2022-02-26,발전용,752.06,75206.0,136
2022-02-27,발전용,734.93,73493.0,130
2022-03-01,주택용,1255.97,125597.0,179
2022-03-02,주택용,1262.25,126225.0,306
2022-03-03,주택용,1460.05,146005.0,279
2022-03-04,주택용,1389.86,138986.0,84
2022-03-05,주택용,1804.95,180495.0,76
2022-03-06,주택용,1425.09,142509.0,445
2022-03-07,주택용,1188.24,118824.0,238
2022-03-08,주택용,1415.94,141594.0,218
2022-03-09,주택용,1223.34,122334.0,276
2022-03-10,주택용,1027.97,102797.0,452
2022-03-11,주택용,1056.47,105647.0,164
2022-03-12,주택용,1574.43,157443.0,358
2022-03-13,주택용,1794.48,179448.0,64
2022-03-14,주택용,1718.08,171808.0,432
2022-03-15,주택용,1674.63,167463.0,479
2022-03-16,주택용,1681.37,168137.0,151
2022-03-17,주택용,1400.87,140087.0,261
2022-03-18,주택용,1197.57,119757.0,395
2022-03-19,주택용,1187.79,118779.0,69
2022-03-20,주택용,1006.12,100612.0,393
2022-03-21,주택용,1365.29,136529.0,397
2022-03-22,주택용,1387.98,138798.0,119
2022-03-23,주택용,1530.11,153011.0,74
2022-03-24,주택용,1640.62,164062.0,167
2022-03-25,주택용,1351.64,135164.0,393
2022-03-26,주택용,1807.42,180742.0,259
2022-03-27,주택용,1539.92,153992.0,383
2022-03-01,상업용,781.9,78190.0,221
2022-03-02,상업용,777.92,77792.0,454
2022-03-03,상업용,643.95,64395.0,39
2022-03-04,상업용,736.76,73676.0,64
2022-03-05,상업용,742.78,74278.0,189
2022-03-06,상업용,679.07,67907.0,431
2022-03-07,상업용,509.5,50950.0,17
2022-03-08,상업용,585.07,58507.0,403
2022-03-09,상업용,482.94,48294.0,205
2022-03-10,상업용,762.24,76224.0,172
2022-03-11,상업용,513.42,51342.0,263
2022-03-12,상업용,648.63,64863.0,94
2022-03-13,상업용,704.88,70488.0,222
2022-03-14,상업용,679.12,67912.0,100
2022-03-15,상업용,716.02,71602.0,202
2022-03-16,상업용,739.57,73957.0,152
2022-03-17,상업용,586.27,58627.0,204
2022-03-18,상업용,753.6,75360.0,28
2022-03-19,상업용,479.64,47964.0,13
2022-03-20,상업용,656.88,65688.0,174
2022-03-21,상업용,782.31,78231.0,182
2022-03-22,상업용,682.87,68287.0,443
2022-03-23,상업용,536.66,53666.0,104
