일시,고객_카테고리,판매량_m3,판매액_만원,고객수
2022-01-01,주택용,1023.9,102390.0,273
2022-01-02,주택용,1169.34,116934.0,286
2022-01-03,주택용,1362.1,136210.0,190
2022-01-04,주택용,1271.24,127124.0,34
2022-01-05,주택용,1273.55,127355.0,208
2022-01-06,주택용,1289.67,128967.0,392
2022-01-07,주택용,1051.63,105163.0,98
2022-01-08,주택용,1328.65,132865.0,420
2022-01-09,주택용,1593.22,159322.0,21
2022-01-10,주택용,1594.08,159408.0,52
2022-01-11,주택용,1040.72,104072.0,152
2022-01-12,주택용,1051.63,105163.0,106
2022-01-13,주택용,1206.48,120648.0,307
2022-01-14,주택용,1009.07,100907.0,310
2022-01-15,주택용,1069.96,106996.0,183
2022-01-16,주택용,1523.54,152354.0,260
2022-01-17,주택용,1013.97,101397.0,222
2022-01-18,주택용,1446.49,144649.0,191
2022-01-19,주택용,1547.46,154746.0,355
2022-01-20,주택용,1350.37,135037.0,106
2022-01-21,주택용,1407.47,140747.0,353
2022-01-22,주택용,889.63,88963.0,95
2022-01-23,주택용,1080.13,108013.0,253
2022-01-24,주택용,1095.66,109566.0,295
2022-01-25,주택용,1489.08,148908.0,15
2022-01-26,주택용,1334.63,133463.0,276
2022-01-27,주택용,972.12,97212.0,133
2022-01-01,상업용,879.4,87940.0,25
2022-01-02,상업용,824.09,82409.0,181
2022-01-03,상업용,940.65,94065.0,109
2022-01-04,상업용,1370.28,137028.0,224
2022-01-05,상업용,1061.6,106160.0,14
2022-01-06,상업용,974.65,97465.0,296
2022-01-07,상업용,914.27,91427.0,47
2022-01-08,상업용,1291.57,129157.0,408
2022-01-09,상업용,971.48,97148.0,172
2022-01-10,상업용,1427.0,142700.0,280
2022-01-11,상업용,977.25,97725.0,184
2022-01-12,상업용,941.23,94123.0,157
2022-01-13,상업용,1034.65,103465.0,274
2022-01-14,상업용,1181.49,118149.0,383
2022-01-15,상업용,1129.71,112971.0,267
2022-01-16,상업용,1450.91,145091.0,157
2022-01-17,상업용,1362.05,136205.0,167
2022-01-18,상업용,1319.48,131948.0,428
2022-01-19,상업용,1345.44,134544.0,274
2022-01-20,상업용,978.65,97865.0,30
2022-01-21,상업용,885.4,88540.0,237
2022-01-22,상업용,974.27,97427.0,336
2022-01-23,상업용,1338.78,133878.0,187
2022-01-24,상업용,1012.2,101220.0,477
2022-01-25,상업용,1017.17,101717.0,118
2022-01-26,상업용,988.29,98829.0,405
2022-01-27,상업용,1094.67,109467.0,269
2022-01-01,산업용,1263.72,126372.0,279
2022-01-02,산업용,1142.86,114286.0,204
2022-01-03,산업용,1200.88,120088.0,91
2022-01-04,산업용,1198.13,119813.0,34
2022-01-05,산업용,1156.85,115685.0,69
2022-01-06,산업용,1153.5,115350.0,163
2022-01-07,산업용,1290.32,129032.0,380
2022-01-08,산업용,746.92,74692.0,394
2022-01-09,산업용,1082.08,108208.0,471
2022-01-10,산업용,1208.49,120849.0,418
2022-01-11,산업용,1073.56,107356.0,24
2022-01-12,산업용,1033.34,103334.0,25
2022-01-13,산업용,828.73,82873.0,104
