연월,사업장,지역,고객_카테고리,판매량_m3,판매액_만원,고객수,평균_사용량
2022-01,서울 지점,서울,주택용,19396.24,1672727.0,4526,5.47
2022-01,서울 지점,서울,상업용,18690.58,1653996.0,1284,4.02
2022-01,서울 지점,서울,산업용,19863.05,1626121.0,2847,18.48
2022-01,서울 지점,서울,발전용,21060.7,2078070.0,3656,5.28
2022-01,부산 지점,부산,주택용,29330.32,2798602.0,2712,20.05
2022-01,부산 지점,부산,상업용,14082.67,1346901.0,1685,3.48
2022-01,부산 지점,부산,산업용,21319.24,2423814.0,261,4.85
2022-01,부산 지점,부산,발전용,10338.56,845788.0,437,10.57
2022-01,대구 지점,대구,주택용,27039.66,3030818.0,164,10.13
2022-01,대구 지점,대구,상업용,11243.84,1227381.0,4574,3.07
2022-01,대구 지점,대구,산업용,42788.86,3531892.0,2554,11.43
2022-01,대구 지점,대구,발전용,27435.9,2326119.0,2790,6.96
2022-01,인천 지점,인천,주택용,31914.9,2694755.0,1584,33.14
2022-01,인천 지점,인천,상업용,10591.71,1021203.0,3342,2.24
2022-01,인천 지점,인천,산업용,33624.19,3776831.0,3160,12.04
2022-01,인천 지점,인천,발전용,25721.76,2183354.0,3402,11.01
2022-01,광주 지점,광주,주택용,19683.01,1580115.0,4844,4.36
2022-01,광주 지점,광주,상업용,8770.91,883684.0,3404,2.27
2022-01,광주 지점,광주,산업용,48819.63,4493121.0,3796,15.75
2022-01,광주 지점,광주,발전용,10053.0,1169472.0,3574,5.56
2022-01,대전 지점,대전,주택용,22706.66,2036478.0,4489,9.36
2022-01,대전 지점,대전,상업용,22164.1,1906749.0,4382,6.34
2022-01,대전 지점,대전,산업용,32293.88,3629187.0,3319,10.73
2022-01,대전 지점,대전,발전용,23104.67,2472837.0,4161,6.66
2022-01,울산 지점,울산,주택용,20397.92,1829165.0,3823,4.39
2022-01,울산 지점,울산,상업용,17006.93,1970838.0,3291,9.47
2022-01,울산 지점,울산,산업용,25906.72,2082068.0,2657,130.84
2022-01,울산 지점,울산,발전용,19305.6,2312392.0,4167,74.25
2022-01,경기 지점,경기,주택용,16861.84,1835202.0,4835,5.26
2022-01,경기 지점,경기,상업용,14612.85,1741204.0,662,5.65
2022-01,경기 지점,경기,산업용,32563.38,3730680.0,3167,35.59
2022-01,경기 지점,경기,발전용,15928.13,1882022.0,3544,5.98
2022-01,강원 지점,강원,주택용,26584.99,3151513.0,1239,91.67
2022-01,강원 지점,강원,상업용,9766.86,935545.0,669,4.9
2022-01,강원 지점,강원,산업용,36187.72,3322453.0,4157,40.94
2022-01,강원 지점,강원,발전용,19342.49,1872184.0,1941,7.57
2022-01,충북 지점,충북,주택용,35260.22,3810878.0,4595,12.59
2022-01,충북 지점,충북,상업용,12433.44,1012550.0,3836,3.21
2022-01,충북 지점,충북,산업용,30743.58,3471074.0,2591,11.14
2022-01,충북 지점,충북,발전용,18732.93,1537361.0,4242,4.2
2022-01,충남 지점,충남,주택용,33476.23,3674408.0,1469,39.85
2022-01,충남 지점,충남,상업용,7385.19,861176.0,2949,11.21
