일시,고객_카테고리,판매량_m3,판매액_만원,고객수
2022-01-01,주택용,806.61,80661.0,91
2022-01-02,주택용,1131.65,113165.0,290
2022-01-03,주택용,785.0,78500.0,364
2022-01-04,주택용,1110.23,111023.0,427
2022-01-05,주택용,1198.27,119827.0,214
2022-01-06,주택용,1140.62,114062.0,306
2022-01-07,주택용,734.24,73424.0,224
2022-01-08,주택용,1206.03,120603.0,267
2022-01-09,주택용,992.48,99248.0,87
2022-01-10,주택용,951.15,95115.0,194
2022-01-11,주택용,1082.84,108284.0,10
2022-01-12,주택용,1027.65,102765.0,58
2022-01-13,주택용,1206.42,120642.0,280
2022-01-14,주택용,910.41,91041.0,401
2022-01-15,주택용,1038.33,103833.0,299
2022-01-16,주택용,1246.9,124690.0,435
2022-01-17,주택용,1173.71,117371.0,190
2022-01-18,주택용,1115.69,111569.0,463
2022-01-19,주택용,793.55,79355.0,355
2022-01-20,주택용,994.63,99463.0,374
2022-01-21,주택용,1051.7,105170.0,108
2022-01-22,주택용,702.38,70238.0,354
2022-01-23,주택용,763.2,76320.0,21
2022-01-24,주택용,765.32,76532.0,353
2022-01-25,주택용,901.82,90182.0,490
2022-01-26,주택용,1114.45,111445.0,139
2022-01-27,주택용,830.31,83031.0,451
2022-01-01,상업용,578.14,57814.0,14
2022-01-02,상업용,832.4,83240.0,33
2022-01-03,상업용,581.17,58117.0,437
2022-01-04,상업용,1031.58,103158.0,248
2022-01-05,상업용,1001.53,100153.0,429
2022-01-06,상업용,1003.94,100394.0,154
2022-01-07,상업용,887.73,88773.0,316
2022-01-08,상업용,762.07,76207.0,346
2022-01-09,상업용,791.79,79179.0,138
2022-01-10,상업용,643.88,64388.0,281
2022-01-11,상업용,859.13,85913.0,101
2022-01-12,상업용,898.37,89837.0,132
2022-01-13,상업용,693.91,69391.0,467
2022-01-14,상업용,702.18,70218.0,128
2022-01-15,상업용,825.17,82517.0,288
2022-01-16,상업용,1012.44,101244.0,205
2022-01-17,상업용,890.15,89015.0,32
2022-01-18,상업용,732.42,73242.0,269
2022-01-19,상업용,727.41,72741.0,219
2022-01-20,상업용,896.54,89654.0,363
2022-01-21,상업용,992.57,99257.0,348
2022-01-22,상업용,989.49,98949.0,236
2022-01-23,상업용,832.94,83294.0,488
2022-01-24,상업용,950.74,95074.0,204
2022-01-25,상업용,928.89,92889.0,480
2022-01-26,상업용,616.62,61662.0,71
2022-01-27,상업용,695.93,69593.0,35
2022-01-01,산업용,261.68,26168.0,359
2022-01-02,산업용,208.91,20891.0,499
2022-01-03,산업용,286.27,28627.0,309
2022-01-04,산업용,205.58,20558.0,492
2022-01-05,산업용,241.19,24119.0,42
2022-01-06,산업용,331.02,33102.0,100
2022-01-07,산업용,300.7,30070.0,247
2022-01-08,산업용,218.61,21861.0,236
2022-01-09,산업용,342.51,34251.0,418
