날짜,요일,사업장,판매량_m3,판매액_만원
2022-01-01,토,서울 지점,30362.83,3036283.0
2022-01-01,토,부산 지점,57268.56,5726856.0
2022-01-01,토,대구 지점,37308.24,3730824.0
2022-01-01,토,인천 지점,54381.84,5438184.0
2022-01-01,토,광주 지점,14435.85,1443585.0
2022-01-01,토,대전 지점,37888.56,3788856.0
2022-01-01,토,울산 지점,44596.22,4459622.0
2022-01-01,토,경기 지점,17553.9,1755390.0
2022-01-01,토,강원 지점,52413.3,5241330.0
2022-01-01,토,충북 지점,53956.98,5395698.0
2022-01-01,토,충남 지점,43893.09,4389309.0
2022-01-01,토,전북 지점,36015.28,3601528.0
2022-01-01,토,전남 지점,44704.72,4470472.0
2022-01-01,토,경북 지점,24258.97,2425897.0
2022-01-01,토,경남 지점,15535.49,1553549.0
2022-01-01,토,제주 지점,37602.52,3760252.0
2022-01-02,일,서울 지점,34126.7,3412670.0
2022-01-02,일,부산 지점,31324.27,3132427.0
2022-01-02,일,대구 지점,19450.16,1945016.0
2022-01-02,일,인천 지점,19513.46,1951346.0
2022-01-02,일,광주 지점,59262.3,5926230.0
2022-01-02,일,대전 지점,56351.62,5635162.0
2022-01-02,일,울산 지점,22652.1,2265210.0
2022-01-02,일,경기 지점,12996.77,1299677.0
2022-01-02,일,강원 지점,26232.99,2623299.0
2022-01-02,일,충북 지점,52258.91,5225891.0
2022-01-02,일,충남 지점,21170.51,2117051.0
2022-01-02,일,전북 지점,59204.51,5920451.0
2022-01-02,일,전남 지점,20183.93,2018393.0
2022-01-02,일,경북 지점,37900.62,3790062.0
2022-01-02,일,경남 지점,59613.85,5961385.0
2022-01-02,일,제주 지점,16504.95,1650495.0
2022-01-03,월,서울 지점,19878.97,1987897.0
2022-01-03,월,부산 지점,39523.33,3952333.0
2022-01-03,월,대구 지점,49468.38,4946838.0
2022-01-03,월,인천 지점,45114.63,4511463.0
2022-01-03,월,광주 지점,39457.62,3945762.0
2022-01-03,월,대전 지점,31524.65,3152465.0
2022-01-03,월,울산 지점,49314.74,4931474.0
2022-01-03,월,경기 지점,17030.1,1703010.0
2022-01-03,월,강원 지점,22251.26,2225126.0
2022-01-03,월,충북 지점,49465.05,4946505.0
2022-01-03,월,충남 지점,24059.81,2405981.0
2022-01-03,월,전북 지점,16911.08,1691108.0
2022-01-03,월,전남 지점,52148.24,5214824.0
2022-01-03,월,경북 지점,48436.77,4843677.0
2022-01-03,월,경남 지점,41943.65,4194365.0
2022-01-03,월,제주 지점,42794.5,4279450.0
2022-01-04,화,서울 지점,43188.17,4318817.0
2022-01-04,화,부산 지점,46529.89,4652989.0
2022-01-04,화,대구 지점,25755.39,2575539.0
2022-01-04,화,인천 지점,53269.72,5326972.0
2022-01-04,화,광주 지점,22982.59,2298259.0
2022-01-04,화,대전 지점,30685.86,3068586.0
2022-01-04,화,울산 지점,35521.67,3552167.0
2022-01-04,화,경기 지점,50311.4,5031140.0
2022-01-04,화,강원 지점,31659.57,3165957.0
2022-01-04,화,충북 지점,35396.57,3539657.0
2022-01-04,화,충남 지점,52613.61,5261361.0
2022-01-04,화,전북 지점,59986.56,5998656.0
2022-01-04,화,전남 지점,49660.39,4966039.0
2022-01-04,화,경북 지점,25084.44,2508444.0
2022-01-04,화,경남 지점,15494.46,1549446.0
2022-01-04,화,제주 지점,44746.7,4474670.0
2022-01-05,수,서울 지점,44343.81,4434381.0
2022-01-05,수,부산 지점,34446.21,3444621.0
2022-01-05,수,대구 지점,46230.73,4623073.0
2022-01-05,수,인천 지점,13152.1,1315210.0
2022-01-05,수,광주 지점,59718.32,5971832.0
2022-01-05,수,대전 지점,34209.63,3420963.0
2022-01-05,수,울산 지점,38354.96,3835496.0
2022-01-05,수,경기 지점,36627.41,3662741.0
