일시,고객_카테고리,판매량_m3,판매액_만원,고객수
2022-01-01,주택용,1226.32,122632.0,427
2022-01-02,주택용,828.26,82826.0,238
2022-01-03,주택용,1186.22,118622.0,15
2022-01-04,주택용,918.24,91824.0,46
2022-01-05,주택용,958.87,95887.0,411
2022-01-06,주택용,1228.13,122813.0,496
2022-01-07,주택용,966.22,96622.0,335
2022-01-08,주택용,1094.2,109420.0,164
2022-01-09,주택용,801.28,80128.0,343
2022-01-10,주택용,740.71,74071.0,14
2022-01-11,주택용,1019.39,101939.0,119
2022-01-12,주택용,889.83,88983.0,120
2022-01-13,주택용,735.81,73581.0,104
2022-01-14,주택용,679.48,67948.0,458
2022-01-15,주택용,1087.32,108732.0,383
2022-01-16,주택용,957.09,95709.0,198
2022-01-17,주택용,739.49,73949.0,69
2022-01-18,주택용,825.41,82541.0,488
2022-01-19,주택용,1223.3,122330.0,367
2022-01-20,주택용,1086.84,108684.0,204
2022-01-21,주택용,689.07,68907.0,443
2022-01-22,주택용,1057.51,105751.0,240
2022-01-23,주택용,1128.94,112894.0,57
2022-01-24,주택용,1031.05,103105.0,384
2022-01-25,주택용,859.69,85969.0,216
2022-01-26,주택용,759.43,75943.0,360
2022-01-27,주택용,812.31,81231.0,269
2022-01-01,상업용,1673.9,167390.0,315
2022-01-02,상업용,1256.47,125647.0,343
2022-01-03,상업용,1044.8,104480.0,452
2022-01-04,상업용,1708.46,170846.0,442
2022-01-05,상업용,1671.09,167109.0,351
2022-01-06,상업용,1666.7,166670.0,383
2022-01-07,상업용,1055.26,105526.0,263
2022-01-08,상업용,1804.43,180443.0,315
2022-01-09,상업용,1594.82,159482.0,218
2022-01-10,상업용,1796.12,179612.0,152
2022-01-11,상업용,1257.68,125768.0,265
2022-01-12,상업용,1893.07,189307.0,218
2022-01-13,상업용,1352.09,135209.0,337
2022-01-14,상업용,1173.04,117304.0,165
2022-01-15,상업용,1566.09,156609.0,429
2022-01-16,상업용,1476.71,147671.0,428
2022-01-17,상업용,1789.34,178934.0,218
2022-01-18,상업용,1343.42,134342.0,74
2022-01-19,상업용,1840.85,184085.0,197
2022-01-20,상업용,1536.43,153643.0,158
2022-01-21,상업용,1525.24,152524.0,461
2022-01-22,상업용,1068.17,106817.0,368
2022-01-23,상업용,1506.19,150619.0,33
2022-01-24,상업용,1144.59,114459.0,405
2022-01-25,상업용,1223.93,122393.0,498
2022-01-26,상업용,1636.63,163663.0,109
2022-01-27,상업용,1778.48,177848.0,80
2022-01-01,산업용,173.1,17310.0,143
2022-01-02,산업용,258.53,25853.0,245
2022-01-03,산업용,176.1,17610.0,107
2022-01-04,산업용,203.02,20302.0,335
2022-01-05,산업용,230.37,23037.0,315
2022-01-06,산업용,240.68,24068.0,77
2022-01-07,산업용,294.58,29458.0,216
2022-01-08,산업용,231.08,23108.0,96
2022-01-09,산업용,186.35,18635.0,18
2022-01-10,산업용,194.89,19489.0,125
2022-01-11,산업용,217.44,21744.0,334
2022-01-12,산업용,270.05,27005.0,286
2022-01-13,산업용,170.09,17009.0,208
2022-01-14,산업용,288.89,28889.0,261
2022-01-15,산업용,265.91,26591.0,15
2022-01-16,산업용,260.58,26058.0,489
2022-01-17,산업용,190.23,19023.0,114
2022-01-18,산업용,206.32,20632.0,373
2022-01-19,산업용,301.26,30126.0,122
2022-01-20,산업용,191.51,19151.0,287
2022-01-21,산업용,234.76,23476.0,435
2022-01-22,산업용,248.65,24865.0,492
2022-01-23,산업용,198.05,19805.0,236
2022-01-24,산업용,168.59,16859.0,211
2022-01-25,산업용,261.63,26163.0,463
2022-01-26,산업용,254.84,25484.0,14
2022-01-27,산업용,202.34,20234.0,221
2022-01-01,발전용,766.3,76630.0,277
2022-01-02,발전용,566.84,56684.0,303
2022-01-03,발전용,828.5,82850.0,192
2022-01-04,발전용,610.78,61078.0,386
2022-01-05,발전용,811.5,81150.0,362
2022-01-06,발전용,868.93,86893.0,374
2022-01-07,발전용,774.65,77465.0,245
2022-01-08,발전용,755.31,75531.0,385
2022-01-09,발전용,522.27,52227.0,50
2022-01-10,발전용,726.14,72614.0,99
2022-01-11,발전용,783.03,78303.0,53
2022-01-12,발전용,825.45,82545.0,66
2022-01-13,발전용,674.18,67418.0,152
2022-01-14,발전용,742.74,74274.0,69
2022-01-15,발전용,858.93,85893.0,127
2022-01-16,발전용,554.84,55484.0,56
2022-01-17,발전용,583.08,58308.0,374
2022-01-18,발전용,782.15,78215.0,499
2022-01-19,발전용,795.56,79556.0,258
2022-01-20,발전용,860.0,86000.0,466
2022-01-21,발전용,632.93,63293.0,409
2022-01-22,발전용,867.27,86727.0,266
2022-01-23,발전용,744.32,74432.0,465
