일시,고객_카테고리,판매량_m3,판매액_만원,고객수
2022-01-01,주택용,648.62,64862.0,227
2022-01-02,주택용,591.74,59174.0,489
2022-01-03,주택용,481.04,48104.0,301
2022-01-04,주택용,648.66,64866.0,19
2022-01-05,주택용,524.61,52461.0,387
2022-01-06,주택용,594.19,59419.0,27
2022-01-07,주택용,467.92,46792.0,273
2022-01-08,주택용,440.36,44036.0,69
2022-01-09,주택용,596.32,59632.0,238
2022-01-10,주택용,409.46,40946.0,409
2022-01-11,주택용,435.84,43584.0,322
2022-01-12,주택용,515.8,51580.0,58
2022-01-13,주택용,406.93,40693.0,369
2022-01-14,주택용,644.22,64422.0,179
2022-01-15,주택용,421.67,42167.0,255
2022-01-16,주택용,659.32,65932.0,394
2022-01-17,주택용,527.61,52761.0,326
2022-01-18,주택용,457.27,45727.0,284
2022-01-19,주택용,726.52,72652.0,72
2022-01-20,주택용,439.29,43929.0,415
2022-01-21,주택용,464.05,46405.0,162
2022-01-22,주택용,425.1,42510.0,268
2022-01-23,주택용,604.77,60477.0,149
2022-01-24,주택용,644.23,64423.0,394
2022-01-25,주택용,430.68,43068.0,191
2022-01-26,주택용,536.91,53691.0,456
2022-01-27,주택용,565.51,56551.0,278
2022-01-01,상업용,898.07,89807.0,103
2022-01-02,상업용,928.68,92868.0,41
2022-01-03,상업용,969.94,96994.0,111
2022-01-04,상업용,1034.66,103466.0,55
2022-01-05,상업용,1209.58,120958.0,198
2022-01-06,상업용,716.08,71608.0,468
2022-01-07,상업용,949.54,94954.0,258
2022-01-08,상업용,1127.53,112753.0,480
2022-01-09,상업용,810.19,81019.0,58
2022-01-10,상업용,899.54,89954.0,462
2022-01-11,상업용,1226.48,122648.0,145
2022-01-12,상업용,975.92,97592.0,471
2022-01-13,상업용,1059.49,105949.0,273
2022-01-14,상업용,819.34,81934.0,380
2022-01-15,상업용,1021.51,102151.0,43
2022-01-16,상업용,987.06,98706.0,327
2022-01-17,상업용,739.28,73928.0,303
2022-01-18,상업용,1281.69,128169.0,162
2022-01-19,상업용,1052.9,105290.0,326
2022-01-20,상업용,1008.84,100884.0,40
2022-01-21,상업용,1246.82,124682.0,161
2022-01-22,상업용,774.22,77422.0,460
2022-01-23,상업용,889.84,88984.0,143
2022-01-24,상업용,1218.18,121818.0,408
2022-01-25,상업용,1127.18,112718.0,439
2022-01-26,상업용,949.82,94982.0,262
2022-01-27,상업용,1129.09,112909.0,431
2022-01-01,산업용,266.54,26654.0,426
2022-01-02,산업용,310.74,31074.0,326
2022-01-03,산업용,320.83,32083.0,166
2022-01-04,산업용,335.22,33522.0,346
2022-01-05,산업용,355.23,35523.0,30
2022-01-06,산업용,219.84,21984.0,189
2022-01-07,산업용,250.57,25057.0,81
2022-01-08,산업용,252.55,25255.0,353
2022-01-09,산업용,217.7,21770.0,468
2022-01-10,산업용,270.19,27019.0,337
2022-01-11,산업용,196.32,19632.0,97
