일시,고객_카테고리,판매량_m3,판매액_만원,고객수
2022-01-01,주택용,1592.87,159287.0,248
2022-01-02,주택용,1516.82,151682.0,172
2022-01-03,주택용,1311.91,131191.0,119
2022-01-04,주택용,1306.31,130631.0,54
2022-01-05,주택용,1513.7,151370.0,271
2022-01-06,주택용,1117.09,111709.0,84
2022-01-07,주택용,1527.85,152785.0,83
2022-01-08,주택용,1294.16,129416.0,394
2022-01-09,주택용,1678.36,167836.0,68
2022-01-10,주택용,1443.8,144380.0,108
2022-01-11,주택용,1155.82,115582.0,424
2022-01-12,주택용,1383.73,138373.0,90
2022-01-13,주택용,1283.55,128355.0,145
2022-01-14,주택용,1482.54,148254.0,365
2022-01-15,주택용,1511.62,151162.0,450
2022-01-16,주택용,974.64,97464.0,165
2022-01-17,주택용,1219.7,121970.0,148
2022-01-18,주택용,1411.33,141133.0,312
2022-01-19,주택용,1388.22,138822.0,398
2022-01-20,주택용,1191.14,119114.0,49
2022-01-21,주택용,1293.31,129331.0,365
2022-01-22,주택용,1674.68,167468.0,441
2022-01-23,주택용,1042.25,104225.0,288
2022-01-24,주택용,1523.51,152351.0,480
2022-01-25,주택용,1277.75,127775.0,67
2022-01-26,주택용,1342.42,134242.0,230
2022-01-27,주택용,1019.35,101935.0,70
2022-01-01,상업용,368.21,36821.0,141
2022-01-02,상업용,296.13,29613.0,216
2022-01-03,상업용,401.18,40118.0,247
2022-01-04,상업용,392.2,39220.0,245
2022-01-05,상업용,345.25,34525.0,97
2022-01-06,상업용,431.46,43146.0,159
2022-01-07,상업용,311.0,31100.0,441
2022-01-08,상업용,370.58,37058.0,141
2022-01-09,상업용,496.78,49678.0,328
2022-01-10,상업용,458.74,45874.0,365
2022-01-11,상업용,530.52,53052.0,356
2022-01-12,상업용,430.01,43001.0,44
2022-01-13,상업용,294.71,29471.0,129
2022-01-14,상업용,470.89,47089.0,21
2022-01-15,상업용,482.93,48293.0,87
2022-01-16,상업용,370.84,37084.0,385
2022-01-17,상업용,502.98,50298.0,426
2022-01-18,상업용,434.54,43454.0,310
2022-01-19,상업용,477.96,47796.0,363
2022-01-20,상업용,353.54,35354.0,171
2022-01-21,상업용,335.84,33584.0,317
2022-01-22,상업용,411.51,41151.0,433
2022-01-23,상업용,462.83,46283.0,79
2022-01-24,상업용,480.37,48037.0,337
2022-01-25,상업용,364.49,36449.0,314
2022-01-26,상업용,317.59,31759.0,124
2022-01-27,상업용,371.0,37100.0,112
2022-01-01,산업용,1008.62,100862.0,145
2022-01-02,산업용,914.88,91488.0,126
2022-01-03,산업용,1064.35,106435.0,485
2022-01-04,산업용,1051.14,105114.0,283
2022-01-05,산업용,1031.49,103149.0,476
2022-01-06,산업용,1173.4,117340.0,392
2022-01-07,산업용,1270.8,127080.0,249
2022-01-08,산업용,1103.9,110390.0,462
2022-01-09,산업용,911.19,91119.0,250
2022-01-10,산업용,850.38,85038.0,385
2022-01-11,산업용,991.63,99163.0,234
2022-01-12,산업용,1169.83,116983.0,150
2022-01-13,산업용,1289.93,128993.0,343
