일시,고객_카테고리,판매량_m3,판매액_만원,고객수
2022-01-01,주택용,593.77,59377.0,116
2022-01-02,주택용,768.76,76876.0,147
2022-01-03,주택용,579.56,57956.0,38
2022-01-04,주택용,472.49,47249.0,206
2022-01-05,주택용,645.49,64549.0,125
2022-01-06,주택용,481.0,48100.0,29
2022-01-07,주택용,729.87,72987.0,226
2022-01-08,주택용,706.77,70677.0,309
2022-01-09,주택용,693.04,69304.0,443
2022-01-10,주택용,730.69,73069.0,390
2022-01-11,주택용,610.92,61092.0,337
2022-01-12,주택용,715.85,71585.0,112
2022-01-13,주택용,719.96,71996.0,294
2022-01-14,주택용,721.87,72187.0,486
2022-01-15,주택용,760.6,76060.0,382
2022-01-16,주택용,455.07,45507.0,450
2022-01-17,주택용,645.48,64548.0,101
2022-01-18,주택용,547.6,54760.0,87
2022-01-19,주택용,658.65,65865.0,259
2022-01-20,주택용,745.64,74564.0,206
2022-01-21,주택용,685.24,68524.0,118
2022-01-22,주택용,755.68,75568.0,234
2022-01-23,주택용,727.78,72778.0,109
2022-01-24,주택용,753.79,75379.0,206
2022-01-25,주택용,754.87,75487.0,445
2022-01-26,주택용,730.63,73063.0,349
2022-01-27,주택용,745.44,74544.0,405
2022-01-01,상업용,371.26,37126.0,25
2022-01-02,상업용,324.99,32499.0,333
2022-01-03,상업용,304.46,30446.0,246
2022-01-04,상업용,336.55,33655.0,90
2022-01-05,상업용,234.67,23467.0,414
2022-01-06,상업용,287.59,28759.0,190
2022-01-07,상업용,243.72,24372.0,140
2022-01-08,상업용,314.37,31437.0,276
2022-01-09,상업용,220.2,22020.0,440
2022-01-10,상업용,299.7,29970.0,39
2022-01-11,상업용,277.44,27744.0,333
2022-01-12,상업용,294.12,29412.0,422
2022-01-13,상업용,236.68,23668.0,255
2022-01-14,상업용,375.63,37563.0,153
2022-01-15,상업용,358.3,35830.0,481
2022-01-16,상업용,307.59,30759.0,454
2022-01-17,상업용,262.94,26294.0,201
2022-01-18,상업용,257.57,25757.0,116
2022-01-19,상업용,363.83,36383.0,242
2022-01-20,상업용,320.71,32071.0,454
2022-01-21,상업용,375.82,37582.0,375
2022-01-22,상업용,242.38,24238.0,212
2022-01-23,상업용,373.72,37372.0,445
2022-01-24,상업용,346.2,34620.0,433
2022-01-25,상업용,379.1,37910.0,215
2022-01-26,상업용,296.01,29601.0,399
2022-01-27,상업용,349.33,34933.0,170
2022-01-01,산업용,431.97,43197.0,183
2022-01-02,산업용,429.84,42984.0,370
2022-01-03,산업용,494.04,49404.0,21
2022-01-04,산업용,477.93,47793.0,384
2022-01-05,산업용,470.51,47051.0,95
2022-01-06,산업용,488.65,48865.0,475
2022-01-07,산업용,432.45,43245.0,109
2022-01-08,산업용,365.4,36540.0,245
2022-01-09,산업용,353.54,35354.0,199
2022-01-10,산업용,531.56,53156.0,220
2022-01-11,산업용,547.96,54796.0,485
2022-01-12,산업용,532.46,53246.0,34
2022-01-13,산업용,318.94,31894.0,211
2022-01-14,산업용,349.14,34914.0,455
2022-01-15,산업용,443.61,44361.0,126
2022-01-16,산업용,551.47,55147.0,455
2022-01-17,산업용,391.61,39161.0,370
2022-01-18,산업용,386.74,38674.0,430
2022-01-19,산업용,538.33,53833.0,226
2022-01-20,산업용,320.86,32086.0,484
2022-01-21,산업용,424.24,42424.0,133
2022-01-22,산업용,417.92,41792.0,214
2022-01-23,산업용,422.08,42208.0,180
2022-01-24,산업용,561.25,56125.0,294
2022-01-25,산업용,427.71,42771.0,389
2022-01-26,산업용,475.4,47540.0,464
2022-01-27,산업용,433.5,43350.0,263
2022-01-01,발전용,292.58,29258.0,136
2022-01-02,발전용,309.0,30900.0,165
2022-01-03,발전용,257.96,25796.0,309
2022-01-04,발전용,403.46,40346.0,97
2022-01-05,발전용,387.1,38710.0,420
2022-01-06,발전용,243.57,24357.0,391
2022-01-07,발전용,238.74,23874.0,402
2022-01-08,발전용,360.97,36097.0,11
2022-01-09,발전용,307.64,30764.0,23
2022-01-10,발전용,410.41,41041.0,38
2022-01-11,발전용,304.94,30494.0,247
2022-01-12,발전용,367.75,36775.0,48
2022-01-13,발전용,237.97,23797.0,261
2022-01-14,발전용,320.98,32098.0,415
2022-01-15,발전용,413.15,41315.0,462
2022-01-16,발전용,244.07,24407.0,22
2022-01-17,발전용,322.13,32213.0,401
2022-01-18,발전용,341.62,34162.0,229
2022-01-19,발전용,354.2,35420.0,173
2022-01-20,발전용,301.84,30184.0,324
2022-01-21,발전용,266.11,26611.0,485
2022-01-22,발전용,421.95,42195.0,411
2022-01-23,발전용,364.08,36408.0,351
2022-01-24,발전용,405.31,40531.0,94
2022-01-25,발전용,253.74,25374.0,201
2022-01-26,발전용,332.36,33236.0,90
2022-01-27,발전용,430.21,43021.0,54
2022-02-01,주택용,197.48,19748.0,120
2022-02-02,주택용,264.98,26498.0,454
2022-02-03,주택용,282.07,28207.0,356
2022-02-04,주택용,267.41,26741.0,413
2022-02-05,주택용,254.43,25443.0,169
2022-02-06,주택용,281.74,28174.0,264
2022-02-07,주택용,319.22,31922.0,385
2022-02-08,주택용,315.62,31562.0,479
2022-02-09,주택용,335.56,33556.0,211
2022-02-10,주택용,301.53,30153.0,10
2022-02-11,주택용,336.76,33676.0,165
2022-02-12,주택용,325.72,32572.0,349
2022-02-13,주택용,299.85,29985.0,88
2022-02-14,주택용,354.42,35442.0,103
2022-02-15,주택용,204.2,20420.0,139
2022-02-16,주택용,211.93,21193.0,385
2022-02-17,주택용,208.17,20817.0,409
2022-02-18,주택용,302.11,30211.0,95
2022-02-19,주택용,287.72,28772.0,287
2022-02-20,주택용,233.59,23359.0,154
2022-02-21,주택용,334.31,33431.0,303
2022-02-22,주택용,301.44,30144.0,134
2022-02-23,주택용,339.84,33984.0,332
2022-02-24,주택용,347.8,34780.0,330
2022-02-25,주택용,313.82,31382.0,23
2022-02-26,주택용,238.88,23888.0,261
2022-02-27,주택용,302.96,30296.0,464
2022-02-01,상업용,1084.7,108470.0,263
2022-02-02,상업용,934.91,93491.0,354
2022-02-03,상업용,969.24,96924.0,84
2022-02-04,상업용,911.62,91162.0,54
2022-02-05,상업용,965.68,96568.0,283
2022-02-06,상업용,891.54,89154.0,78
2022-02-07,상업용,1022.33,102233.0,382
2022-02-08,상업용,1163.07,116307.0,429
