일시,고객_카테고리,판매량_m3,판매액_만원,고객수
2022-01-01,주택용,1093.02,109302.0,334
2022-01-02,주택용,1037.8,103780.0,461
2022-01-03,주택용,801.9,80190.0,98
2022-01-04,주택용,679.28,67928.0,439
2022-01-05,주택용,823.95,82395.0,358
2022-01-06,주택용,641.79,64179.0,272
2022-01-07,주택용,776.41,77641.0,398
2022-01-08,주택용,1101.73,110173.0,362
2022-01-09,주택용,843.16,84316.0,308
2022-01-10,주택용,765.76,76576.0,351
2022-01-11,주택용,1097.93,109793.0,87
2022-01-12,주택용,750.02,75002.0,315
2022-01-13,주택용,1062.83,106283.0,172
2022-01-14,주택용,689.12,68912.0,40
2022-01-15,주택용,833.51,83351.0,180
2022-01-16,주택용,901.4,90140.0,221
2022-01-17,주택용,614.18,61418.0,16
2022-01-18,주택용,933.97,93397.0,143
2022-01-19,주택용,1082.87,108287.0,463
2022-01-20,주택용,666.0,66600.0,133
2022-01-21,주택용,619.24,61924.0,352
2022-01-22,주택용,827.45,82745.0,464
2022-01-23,주택용,998.2,99820.0,368
2022-01-24,주택용,943.48,94348.0,291
2022-01-25,주택용,946.49,94649.0,272
2022-01-26,주택용,791.84,79184.0,14
2022-01-27,주택용,1017.36,101736.0,489
2022-01-01,상업용,798.54,79854.0,298
2022-01-02,상업용,834.01,83401.0,198
2022-01-03,상업용,1092.3,109230.0,414
2022-01-04,상업용,1244.16,124416.0,168
2022-01-05,상업용,847.06,84706.0,350
2022-01-06,상업용,1050.11,105011.0,351
2022-01-07,상업용,1116.23,111623.0,101
2022-01-08,상업용,1101.84,110184.0,455
2022-01-09,상업용,1036.26,103626.0,66
2022-01-10,상업용,1091.1,109110.0,211
2022-01-11,상업용,921.13,92113.0,473
2022-01-12,상업용,1136.29,113629.0,461
2022-01-13,상업용,954.88,95488.0,483
2022-01-14,상업용,1083.54,108354.0,260
2022-01-15,상업용,824.03,82403.0,356
2022-01-16,상업용,741.73,74173.0,203
